file_path,file_name,source_area,line_number,variable_name,variable_style,extraction_type,likely_role,module_hint,context
components\revenue-summary\RevenueSummaryStatusStrip.jsx,RevenueSummaryStatusStrip.jsx,components,44,Health,PascalCase,object_key,object_field,,/> <Pill text={`Health: ${health}`} tone={health} /> <Pill
components\revenue-summary\RevenueSummarySummaryCard.jsx,RevenueSummarySummaryCard.jsx,components,50,Health,PascalCase,object_key,object_field,,"<div className=""ui-actions""> <Pill text={`Health: ${health}`} tone={health} /> </div>"
components\materials\MaterialsStatusStrip.jsx,MaterialsStatusStrip.jsx,components,58,Margin,PascalCase,object_key,object_field,,<Pill text={`Margin: ${margin_health}`} tone={margin_health}
lib\audit\buildLiveAuditSnapshotExport.js,buildLiveAuditSnapshotExport.js,lib,5,Purpose,PascalCase,object_key,object_field,,* * Purpose: * Build the app-state JSON contract required by:
lib\audit\downloadLiveAuditSnapshot.js,downloadLiveAuditSnapshot.js,lib,5,Purpose,PascalCase,object_key,object_field,,* * Purpose: * Browser-side helper to download a QS Tools live audit snapshot JSON file.
components\materials\MaterialsStatusStrip.jsx,MaterialsStatusStrip.jsx,components,62,Warnings,PascalCase,object_key,warnings_field,,"<Pill text={`Warnings: ${warning_count}`} tone={warning_count > 0 ? ""bad"" : ""good""}"
components\rates\square-metre\SquareMetreRateStatusStrip.jsx,SquareMetreRateStatusStrip.jsx,components,44,Warnings,PascalCase,object_key,warnings_field,,"<Pill text={`Warnings: ${warning_count}`} tone={warning_count > 0 ? ""bad"" : ""good""}"
components\revenue-summary\RevenueSummaryStatusStrip.jsx,RevenueSummaryStatusStrip.jsx,components,46,Warnings,PascalCase,object_key,warnings_field,,"<Pill text={`Warnings: ${warning_count}`} tone={warning_count > 0 ? ""bad"" : ""good""}"
lib\data\accLevyRates2026_2027.js,accLevyRates2026_2027.js,lib,24,acc_cu_code,snake_case,object_key,object_field,,"export const ACC_LEVY_RATE_FIELDS = { acc_cu_code: ""ACC Classification Unit code"", acc_cu_description: ""ACC Classification Unit description"","
lib\data\accLevyRates2026_2027.js,accLevyRates2026_2027.js,lib,39,acc_cu_code,snake_case,object_key,object_field,,"{ acc_cu_code: ""00000"", acc_cu_description: ""Example industry classification"","
lib\data\accLevyRates2026_2027.js,accLevyRates2026_2027.js,lib,25,acc_cu_description,snake_case,object_key,object_field,,"acc_cu_code: ""ACC Classification Unit code"", acc_cu_description: ""ACC Classification Unit description"", bic_code: ""Business Industry Classification code"","
lib\data\accLevyRates2026_2027.js,accLevyRates2026_2027.js,lib,40,acc_cu_description,snake_case,object_key,object_field,,"acc_cu_code: ""00000"", acc_cu_description: ""Example industry classification"", bic_code: ""A000000"","
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,146,annual_income,snake_case,snake_case_reference,output_contract_field,,"annual_perfect_text: `If everything went perfectly: ${format_currency(output_contract.perfect_world_income)} / year`, annual_real_text: `More realistically: ~ ${format_currency(output_contract.annual_income)} / year`,"
lib\calculations\materialsCalculations.js,materialsCalculations.js,lib,48,annual_material_cost,snake_case,snake_case_reference,warning_id,,"if (annual_material_cost <= 0) { warnings.push(""Cost missing"");"
lib\calculations\materialsCalculations.js,materialsCalculations.js,lib,52,annual_material_cost,snake_case,snake_case_reference,warning_id,,"if (annual_material_revenue === 0 && annual_material_cost === 0) { warnings.push(""No material inputs entered"");"
lib\storage\materialsStorage.js,materialsStorage.js,lib,6,annual_material_cost,snake_case,object_key,object_field,,"export const DEFAULT_MATERIALS_STATE = { annual_material_cost: 0, annual_material_revenue: 0,"
lib\calculations\materialsCalculations.js,materialsCalculations.js,lib,44,annual_material_revenue,snake_case,snake_case_reference,warning_id,,"if (annual_material_revenue <= 0) { warnings.push(""Revenue missing"");"
lib\calculations\materialsCalculations.js,materialsCalculations.js,lib,52,annual_material_revenue,snake_case,snake_case_reference,warning_id,,"if (annual_material_revenue === 0 && annual_material_cost === 0) { warnings.push(""No material inputs entered"");"
lib\calculations\materialsCalculations.js,materialsCalculations.js,lib,56,annual_material_revenue,snake_case,snake_case_reference,warning_id,,"if (annual_material_revenue > 0 && material_margin_annual < 0) { warnings.push(""Negative material margin"");"
lib\calculations\materialsCalculations.js,materialsCalculations.js,lib,60,annual_material_revenue,snake_case,snake_case_reference,warning_id,,"if (annual_material_revenue > 0 && material_margin_annual === 0) { warnings.push(""Zero material margin"");"
lib\storage\materialsStorage.js,materialsStorage.js,lib,7,annual_material_revenue,snake_case,object_key,object_field,,"annual_material_cost: 0, annual_material_revenue: 0,"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,145,annual_perfect_text,snake_case,object_key,output_contract_field,,"lost_rate_pct: 100 - output_contract.fill_percent, annual_perfect_text: `If everything went perfectly: ${format_currency(output_contract.perfect_world_income)} / year`, annual_real_text: `More realistically: ~ ${format_currency(output_contract.annual_income)} / year`,"
lib\selectors\quickStartSelectors.js,quickStartSelectors.js,lib,146,annual_real_text,snake_case,object_key,output_contract_field,,"annual_perfect_text: `If everything went perfectly: ${format_currency(output_contract.perfect_world_income)} / year`, annual_real_text: `More realistically: ~ ${format_currency(output_contract.annual_income)} / year`,"
app\settings\page.jsx,page.jsx,app,7,availableThemes,camelCase,destructured_name,consumed_field,,"export default function SettingsPage() { const { theme, setTheme, availableThemes } = useTheme();"
hooks\useTheme.js,useTheme.js,hooks,33,availableThemes,camelCase,object_key,object_field,,"setTheme, availableThemes: getAllowedThemes(), };"
lib\storage\squareMetreRateStorage.js,squareMetreRateStorage.js,lib,11,average_job_size_m2,snake_case,object_key,object_field,,"small_job_threshold_m2: 0, average_job_size_m2: 0, small_job_uplift_percent: 0,"
components\quick-start\QuickStartMainCard.jsx,QuickStartMainCard.jsx,components,219,background,plain,object_key,object_field,,"width: `${percent}%`, background: ""#5c8fe0"", }}"
components\materials\MaterialsStatusStrip.jsx,MaterialsStatusStrip.jsx,components,63,bad,plain,quoted_object_key,warning_id,,"text={`Warnings: ${warning_count}`} tone={warning_count > 0 ? ""bad"" : ""good""} />"
components\rates\square-metre\SquareMetreRateStatusStrip.jsx,SquareMetreRateStatusStrip.jsx,components,45,bad,plain,quoted_object_key,warning_id,,"text={`Warnings: ${warning_count}`} tone={warning_count > 0 ? ""bad"" : ""good""} />"
components\revenue-summary\RevenueSummaryStatusStrip.jsx,RevenueSummaryStatusStrip.jsx,components,47,bad,plain,quoted_object_key,warning_id,,"text={`Warnings: ${warning_count}`} tone={warning_count > 0 ? ""bad"" : ""good""} />"
lib\calculations\squareMetreRateCalculations.js,squareMetreRateCalculations.js,lib,42,base_square_metre_rate,snake_case,snake_case_reference,warning_id,,"if (base_square_metre_rate <= 0) { warnings.push(""Base rate missing"");"
lib\storage\squareMetreRateStorage.js,squareMetreRateStorage.js,lib,6,base_square_metre_rate,snake_case,object_key,object_field,,"export const DEFAULT_SQUARE_METRE_RATE_STATE = { base_square_metre_rate: 0, minimum_charge: 0,"
lib\data\accLevyRates2026_2027.js,accLevyRates2026_2027.js,lib,26,bic_code,snake_case,object_key,object_field,,"acc_cu_description: ""ACC Classification Unit description"", bic_code: ""Business Industry Classification code"", bic_description: ""Business Industry Classification description"","
lib\data\accLevyRates2026_2027.js,accLevyRates2026_2027.js,lib,41,bic_code,snake_case,object_key,object_field,,"acc_cu_description: ""Example industry classification"", bic_code: ""A000000"", bic_description: ""Example BIC description"","
lib\data\accLevyRates2026_2027.js,accLevyRates2026_2027.js,lib,27,bic_description,snake_case,object_key,object_field,,"bic_code: ""Business Industry Classification code"", bic_description: ""Business Industry Classification description"", levy_risk_group: ""ACC levy risk group"","
lib\data\accLevyRates2026_2027.js,accLevyRates2026_2027.js,lib,42,bic_description,snake_case,object_key,object_field,,"bic_code: ""A000000"", bic_description: ""Example BIC description"", levy_risk_group: ""000"","
app\demo-login\page.jsx,page.jsx,app,26,body,plain,object_key,object_field,,"}, body: JSON.stringify({ password,"
app\page.js,page.js,app,12,body,plain,object_key,object_field,,"title: ""See how your business recovers those costs"", body: ""Understand how your business turns work into revenue and how each part contributes to your overall performance."", },"
app\page.js,page.js,app,16,body,plain,object_key,object_field,,"title: ""Check your work against your own model"", body: ""Compare real jobs or quotes against your business baseline to see whether they are working."", },"
app\page.js,page.js,app,8,body,plain,object_key,object_field,,"title: ""Understand your real cost base"", body: ""Build your business using your actual numbers so you can see what it truly costs to operate."", },"
lib\storage\quickStartStorage.js,quickStartStorage.js,lib,8,business_type,snake_case,object_key,object_field,,"export const DEFAULT_QUICK_START_STATE = { business_type: ""labour_rate_reality_check"","
lib\audit\buildLiveAuditSnapshotExport.js,buildLiveAuditSnapshotExport.js,lib,6,by,plain,object_key,object_field,,* Purpose: * Build the app-state JSON contract required by: *
components\common\ReclassificationBoard.jsx,ReclassificationBoard.jsx,components,58,category,plain,object_key,object_field,,"<div className=""ui-help""> Current category: {row.effective_category_label} </div>"
lib\storage\quickStartStorage.js,quickStartStorage.js,lib,27,charge_out_rate,snake_case,object_key,object_field,,"operator_rate: 45, charge_out_rate: 180, utilisation_hours: 30,"
components\materials\MaterialsStatusStrip.jsx,MaterialsStatusStrip.jsx,components,26,cost_entered,snake_case,snake_case_reference,warning_id,,"revenue_entered = false, cost_entered = false, warning_count = 0,"
lib\selectors\materialsSelectors.js,materialsSelectors.js,lib,26,cost_entered,snake_case,snake_case_reference,warning_id,,"revenue_entered, cost_entered, warning_count: Array.isArray(calculated.warnings)"
lib\audit\buildLiveAuditSnapshotExport.js,buildLiveAuditSnapshotExport.js,lib,136,cost_of_sales_mapping_variance,snake_case,object_key,warning_id,,"), cost_of_sales_mapping_variance: roundMoney( getValue(explainedVariance, ""cost_of_sales_mapping_variance"", 0)"
