variable_name,occurrence_count,file_count,source_areas,extraction_types,likely_roles,module_hints,files,review_reason
useState,84,84,app | components | hooks | lib,import,imported_dependency,assets | business-modelling | business-setup | business-summary | cost-allocation | cost-summary | employee-overheads-legacy | general-overheads | labour | layout-shared | model-readiness | opening-hours | p-and-l | quote-engine-legacy | rate-builder | recovery-outcome-legacy | recovery-summary | revenue-cogs | revenue-reality | unknown,app\business-modelling\page.jsx | app\cost-allocation\page.jsx | app\demo-login\page.jsx | app\recovery-summary\page.jsx | app\revenue-reality\page.jsx | components\business-summary\BusinessSummaryCalculationTable.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHelpPanel.jsx | components\business-summary\BusinessSummaryMacroPositionCard.jsx | components\business-summary\BusinessSummarySourceBreakdown.jsx | components\common\CollapsibleSection.jsx | components\common\ReclassificationBoard.jsx | components\common\Tooltip.jsx | components\cost-allocation\CostAllocationLinkTable.jsx | components\cost-allocation\CostAllocationMainCard.jsx | components\cost-allocation\CostAllocationStepBuilder.jsx | components\cost-allocation\divisions\CostAllocationCreateDivisionForm.jsx | components\cost-allocation\divisions\CostAllocationDivisionCard.jsx | components\cost-allocation\divisions\CostAllocationDivisionHeader.jsx | components\cost-allocation\groups\CostAllocationCreateGroupForm.jsx | components\cost-allocation\groups\CostAllocationGroupAssetBuilder.jsx | components\cost-allocation\groups\CostAllocationGroupLabourBuilder.jsx | components\cost-summary\CostSummaryCard.jsx | components\cost-summary\CostSummaryHelpPanel.jsx | components\employee-overheads\EmployeeOverheadHelpPanel.jsx | components\employee-overheads\EmployeeOverheadLibraryCard.jsx | components\labour-rate-reality-check\LabourRateRealityCheckHelpPanel.jsx | components\labour\EmployerContributionsCard.jsx | components\labour\LabourCompactWorkspaceCard.jsx | components\labour\LabourHelpPanel.jsx | components\labour\LabourProfileCard.jsx | components\labour\LabourSummaryCard.jsx | components\labour\ScenarioModelCard.jsx | components\layout\SidebarNavigation.jsx | components\materials\MaterialsHelpPanel.jsx | components\materials\MaterialsMainCard.jsx | components\model-readiness\ModelReadinessAuditPanel.jsx | components\p-and-l\ProfitAndLossCustomDirectCostCategoryPanel.jsx | components\p-and-l\ProfitAndLossHelpPanel.jsx | components\p-and-l\ProfitAndLossQuickImportPanel.jsx,appears_in_multiple_files | appears_across_multiple_modules
parsed,157,71,components | hooks | lib,declaration | object_key,calculation | local_variable | object_field | selector | warning_id,assets | business-modelling | business-setup | business-summary | cost-allocation | cost-summary | employee-overheads-legacy | general-overheads | labour | module-reconciliation | opening-hours | p-and-l | quote-engine-legacy | rate-builder | recovery-outcome-legacy | recovery-summary | revenue-cogs | revenue-reality | unknown,components\cost-allocation\groups\CostAllocationGroupCostSummary.jsx | components\cost-allocation\groups\CostAllocationGroupLabourBuilder.jsx | components\cost-allocation\groups\CostAllocationOperatingGroupBuilder.jsx | components\labour\LabourCompactWorkspaceCard.jsx | components\labour\LabourFlowCard.jsx | components\labour\LabourInsightsRow.jsx | components\labour\ProductiveStaffTypeRatesPanel.jsx | components\p-and-l\ProfitAndLossQuickImportPanel.jsx | components\quote-engine\QuoteEngineMainCard.jsx | components\rate-builder\RateBuilderMinimumRecoveryCard.jsx | components\rate-builder\RateBuilderPnlLabourBenchmarkCard.jsx | components\revenue-cogs\RevenueCogsCard.jsx | hooks\cost-allocation\useCostAllocationAssignmentCards.js | hooks\useAssets.js | hooks\useGeneralOverheads.js | hooks\useQuoteEngine.js | hooks\useRevenueCogs.js | lib\audit\buildLiveAuditSnapshotExport.js | lib\calculations\assetCalculations.js | lib\calculations\businessModellingCalculations.js | lib\calculations\businessSummaryCalculations.js | lib\calculations\cost-allocation\costAllocationInputBuilder.js | lib\calculations\costSummaryCalculations.js | lib\calculations\employeeOverheadCalculations.js | lib\calculations\generalOverheadCalculations.js | lib\calculations\labourCalculations.js | lib\calculations\labourRateRealityCheckCalculations.js | lib\calculations\materialsCalculations.js | lib\calculations\openingHoursCalculations.js | lib\calculations\profitAndLossCalculations.js | lib\calculations\quickStartCalculations.js | lib\calculations\quoteEngineCalculations.js | lib\calculations\rateBuilderCalculations.js | lib\calculations\rateBuilderLabourRateCalculations.js | lib\calculations\recoveryOutcomeCalculations.js | lib\calculations\revenueCogsCalculations.js | lib\calculations\revenueRealityCalculations.js | lib\calculations\revenueSummaryCalculations.js | lib\calculations\squareMetreRateCalculations.js | lib\imports\xeroCogImporter.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
maximumFractionDigits,97,59,components | lib,object_key,calculation | object_field | selector,assets | business-modelling | business-summary | cost-allocation | cost-summary | employee-overheads-legacy | general-overheads | labour | model-readiness | p-and-l | quote-engine-legacy | rate-builder | recovery-outcome-legacy | recovery-summary | revenue-cogs | revenue-reality | unknown,components\business-modelling\BusinessModellingBaselineCard.jsx | components\business-modelling\BusinessModellingDeltaCard.jsx | components\business-modelling\BusinessModellingScenarioResult.jsx | components\business-modelling\BusinessModellingStatusStrip.jsx | components\business-summary\BusinessSummaryCardUtils.js | components\business-summary\BusinessSummaryStatusStrip.jsx | components\business-summary\businessSummaryFormatters.js | components\cost-allocation\CostAllocationEvidenceBreakdown.jsx | components\cost-allocation\CostAllocationMainCard.jsx | components\cost-allocation\CostAllocationStatusStrip.jsx | components\cost-allocation\divisions\CostAllocationDivisionCostSummary.jsx | components\cost-allocation\groups\CostAllocationOperatingGroupBuilder.jsx | components\cost-allocation\groups\costAllocationGroupHelpers.js | components\cost-summary\CostSummaryCard.jsx | components\cost-summary\CostSummaryStatusStrip.jsx | components\employee-overheads\EmployeeOverheadCustomList.jsx | components\employee-overheads\EmployeeOverheadLibraryCard.jsx | components\employee-overheads\EmployeeOverheadSummaryCard.jsx | components\general-overheads\GeneralOverheadReclassificationGroup.jsx | components\general-overheads\GeneralOverheadSummaryCard.jsx | components\labour\EmployerContributionsCard.jsx | components\labour\LabourCompactWorkspaceCard.jsx | components\labour\LabourFlowCard.jsx | components\labour\LabourInsightsRow.jsx | components\labour\ProductiveStaffTypeRatesPanel.jsx | components\labour\ScenarioModelCard.jsx | components\materials\MaterialsMainCard.jsx | components\materials\MaterialsStatusStrip.jsx | components\materials\MaterialsSummaryCard.jsx | components\model-readiness\ModelReadinessBaselineInputsCard.jsx | components\model-readiness\ModelReadinessDiagnosticSection.jsx | components\model-readiness\ModelReadinessStatusStrip.jsx | components\model-readiness\ModelReadinessVarianceBreakdown.jsx | components\p-and-l\ProfitAndLossOperatingExpenseGroup.jsx | components\p-and-l\ProfitAndLossReconciliationPanel.jsx | components\quote-engine\QuoteEngineMainCard.jsx | components\quote-engine\QuoteEngineRepairPanel.jsx | components\quote-engine\QuoteEngineStatusStrip.jsx | components\rates\square-metre\SquareMetreRateMainCard.jsx | components\rates\square-metre\SquareMetreRateStatusStrip.jsx,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
format_currency,424,56,components | lib,export_function | function | import | snake_case_reference,calculation | exported_function | imported_dependency | mentioned | output_contract_field | selector | warning_id,assets | business-summary | employee-overheads-legacy | general-overheads | labour | model-readiness | p-and-l | rate-builder | recovery-outcome-legacy | recovery-summary | revenue-cogs | revenue-reality | unknown,components\business-summary\BusinessSummaryComponentBreakdown.jsx | components\business-summary\BusinessSummaryMacroPositionCard.jsx | components\business-summary\BusinessSummarySourceBreakdown.jsx | components\business-summary\businessSummaryFormatters.js | components\employee-overheads\EmployeeOverheadCustomList.jsx | components\employee-overheads\EmployeeOverheadLibraryCard.jsx | components\employee-overheads\EmployeeOverheadSummaryCard.jsx | components\general-overheads\GeneralOverheadReclassificationGroup.jsx | components\general-overheads\GeneralOverheadSummaryCard.jsx | components\labour\EmployerContributionsCard.jsx | components\labour\LabourCompactWorkspaceCard.jsx | components\labour\LabourFlowCard.jsx | components\labour\LabourInsightsRow.jsx | components\labour\ProductiveStaffTypeRatesPanel.jsx | components\labour\ScenarioModelCard.jsx | components\materials\MaterialsMainCard.jsx | components\materials\MaterialsStatusStrip.jsx | components\materials\MaterialsSummaryCard.jsx | components\model-readiness\ModelReadinessBaselineInputsCard.jsx | components\model-readiness\ModelReadinessDiagnosticSection.jsx | components\model-readiness\ModelReadinessVarianceBreakdown.jsx | components\rate-builder\RateBuilderLabourRatesResultPanel.jsx | components\rate-builder\RateBuilderLabourWeightedSummaryCard.jsx | components\rate-builder\RateBuilderMinimumRecoveryCard.jsx | components\rate-builder\RateBuilderPnlLabourBenchmarkCard.jsx | components\rates\square-metre\SquareMetreRateMainCard.jsx | components\rates\square-metre\SquareMetreRateStatusStrip.jsx | components\rates\square-metre\SquareMetreRateSummaryCard.jsx | components\recovery-outcome\RecoveryOutcomeMainCard.jsx | components\recovery-summary\RecoverySummaryComponentBreakdown.jsx | components\recovery-summary\RecoverySummaryDistributionBlock.jsx | components\recovery-summary\RecoverySummaryGrossProfitStatusBlock.jsx | components\recovery-summary\RecoverySummaryRequirementBlock.jsx | components\recovery-summary\RecoverySummarySourceBreakdown.jsx | components\recovery-summary\RecoverySummaryStatusStrip.jsx | components\recovery-summary\main-card\RecoveryOutcomeDetail.jsx | components\recovery-summary\main-card\RecoverySupportingEvidenceDetail.jsx | components\recovery-summary\recoverySummaryFormatters.js | components\recovery-summary\recoverySummaryWarningDetails.js | components\revenue-cogs\RevenueCogXeroImportPanel.jsx,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
is_active,244,55,components | hooks | lib,declaration | function | object_key | snake_case_reference,readiness_field,assets | business-summary | cost-allocation | employee-overheads-legacy | general-overheads | labour | layout-shared | opening-hours | p-and-l | rate-builder | unknown,components\assets\AssetForm.jsx | components\business-summary\BusinessSummaryMacroPositionCard.jsx | components\cost-allocation\CostAllocationGroupsCard.jsx | components\cost-allocation\CostAllocationLinkTable.jsx | components\cost-allocation\CostAllocationProfilesCard.jsx | components\cost-allocation\CostAllocationStepBuilder.jsx | components\cost-allocation\groups\CostAllocationGroupLabourBuilder.jsx | components\cost-allocation\groups\costAllocationGroupHelpers.js | components\employee-overheads\EmployeeOverheadCustomList.jsx | components\employee-overheads\EmployeeOverheadLibraryCard.jsx | components\general-overheads\GeneralOverheadProfilesCard.jsx | components\labour\LabourCompactWorkspaceCard.jsx | components\labour\LabourProfileCard.jsx | components\labour\SavedProfilesCard.jsx | components\layout\SidebarNavigation.jsx | components\p-and-l\ProfitAndLossCustomDirectCostCategoryPanel.jsx | components\p-and-l\ProfitAndLossQuickImportPanel.jsx | components\rate-builder\RateBuilderTabs.jsx | hooks\cost-allocation\useCostAllocationAssignmentCards.js | hooks\useAssets.js | hooks\useCostAllocation.js | hooks\useEmployeeOverheads.js | hooks\useGeneralOverheads.js | hooks\useLabour.js | lib\calculations\cost-allocation\costAllocationDivisionBuilders.js | lib\calculations\cost-allocation\costAllocationInputBuilder.js | lib\calculations\cost-allocation\costAllocationLabourAdapter.js | lib\calculations\cost-allocation\costAllocationMaps.js | lib\calculations\cost-allocation\costAllocationPoolBuilders.js | lib\calculations\employeeOverheadCalculations.js | lib\calculations\labourCalculations.js | lib\calculations\profitAndLossCalculations.js | lib\p-and-l\profitAndLossExcelImporter.js | lib\p-and-l\profitAndLossGroupingRules.js | lib\selectors\cost-allocation\costAllocationDisplayHelpers.js | lib\selectors\employeeOverheadSelectors.js | lib\selectors\general-overheads\generalOverheadCardSelector.js | lib\selectors\materialsSelectors.js | lib\selectors\revenueSummarySelectors.js | lib\selectors\squareMetreRateSelectors.js,appears_in_multiple_files | appears_across_multiple_modules
to_number,506,49,app | components | hooks | lib,export_function | function | import | snake_case_reference,calculation | exported_function | imported_dependency | mentioned | selector | warning_id,assets | business-summary | cost-allocation | cost-summary | employee-overheads-legacy | general-overheads | labour | model-readiness | opening-hours | p-and-l | rate-builder | recovery-outcome-legacy | recovery-summary | revenue-cogs | revenue-reality | unknown,app\business-summary\page.jsx | components\business-summary\BusinessSummaryMacroPositionCard.jsx | components\labour\LabourCompactWorkspaceCard.jsx | components\labour\LabourFlowCard.jsx | components\labour\LabourInsightsRow.jsx | components\labour\ProductiveStaffTypeRatesPanel.jsx | components\model-readiness\ModelReadinessAuditPanel.jsx | components\model-readiness\ModelReadinessBaselineInputsCard.jsx | components\model-readiness\ModelReadinessDiagnosticSection.jsx | components\model-readiness\ModelReadinessVarianceBreakdown.jsx | components\rate-builder\RateBuilderMinimumRecoveryCard.jsx | components\rate-builder\RateBuilderPnlLabourBenchmarkCard.jsx | hooks\useAssets.js | hooks\useGeneralOverheads.js | lib\calculations\assetCalculations.js | lib\calculations\businessSummaryCalculations.js | lib\calculations\costSummaryCalculations.js | lib\calculations\employeeOverheadCalculations.js | lib\calculations\generalOverheadCalculations.js | lib\calculations\labourCalculations.js | lib\calculations\labourRateRealityCheckCalculations.js | lib\calculations\materialsCalculations.js | lib\calculations\openingHoursCalculations.js | lib\calculations\profitAndLossCalculations.js | lib\calculations\quickStartCalculations.js | lib\calculations\rateBuilderCalculations.js | lib\calculations\rateBuilderLabourRateCalculations.js | lib\calculations\recoveryOutcomeCalculations.js | lib\calculations\recoverySummaryCalculations.js | lib\calculations\revenueCogsCalculations.js | lib\calculations\revenueRealityCalculations.js | lib\calculations\revenueSummaryCalculations.js | lib\calculations\squareMetreRateCalculations.js | lib\p-and-l\profitAndLossLineRules.js | lib\recovery\recoveryRiskWarningSystem.js | lib\selectors\cost-allocation\costAllocationRateBuilderSelectors.js | lib\selectors\general-overheads\generalOverheadAllocationSelectors.js | lib\selectors\general-overheads\generalOverheadCategorySelectors.js | lib\selectors\general-overheads\generalOverheadFormatting.js | lib\selectors\general-overheads\generalOverheadPoolSelectors.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
label,496,44,components | hooks | lib,declaration | destructured_name | object_key,calculation | consumed_field | local_variable | object_field | output_contract_field | selector | warning_id,assets | business-modelling | business-setup | business-summary | cost-summary | general-overheads | labour | layout-shared | model-readiness | module-reconciliation | opening-hours | p-and-l | quote-engine-legacy | rate-builder | recovery-summary | revenue-cogs | revenue-reality | unknown,components\assets\AssetForm.jsx | components\business-modelling\BusinessModellingStatusStrip.jsx | components\business-summary\BusinessSummaryCardUtils.js | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\cost-summary\CostSummaryCard.jsx | components\cost-summary\CostSummaryStatusStrip.jsx | components\labour\LabourCompactWorkspaceCard.jsx | components\labour\LabourProfileCard.jsx | components\labour\ScenarioModelCard.jsx | components\layout\SidebarNavigation.jsx | components\model-readiness\ModelReadinessVarianceBreakdown.jsx | components\opening-hours\OpeningHoursMainCard.jsx | components\p-and-l\ProfitAndLossOperatingExpenseGroup.jsx | components\p-and-l\ProfitAndLossProgressPanel.jsx | components\quick-start\QuickStartMainCard.jsx | components\rate-builder\RateBuilderLineCalculator.jsx | components\rate-builder\RateBuilderMainCard.jsx | components\recovery-summary\RecoverySummaryStatusStrip.jsx | components\recovery-summary\main-card\RecoverySupportingEvidenceDetail.jsx | components\recovery-summary\recoverySummaryWarningDetails.js | hooks\useAssets.js | hooks\useOpeningHours.js | hooks\useProfitAndLoss.js | lib\calculations\cost-allocation\costAllocationLabourAdapter.js | lib\calculations\generalOverheadCalculations.js | lib\calculations\labourScenarioCalculations.js | lib\p-and-l\profitAndLossClassificationRules.js | lib\p-and-l\profitAndLossExcelImporter.js | lib\reconciliation\reconciliationRules.js | lib\selectors\assetSelectors.js | lib\selectors\businessSetupSelectors.js | lib\selectors\businessSummarySelectors.js | lib\selectors\general-overheads\generalOverheadAllocationSelectors.js | lib\selectors\general-overheads\generalOverheadDefinitions.js | lib\selectors\labourRateRealityCheckSelectors.js | lib\selectors\labour\labourSummarySelectors.js | lib\selectors\openingHoursSelectors.js | lib\selectors\profitAndLossSelectors.js | lib\selectors\quickStartSelectors.js | lib\selectors\quoteEngineSelectors.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules | possible_handoff_field
total_cost_burden,156,44,app | components | hooks | lib,declaration | object_key | snake_case_reference,calculation | local_variable | mentioned | object_field | output_contract_field | selector | warning_id,cost-summary | model-readiness,app\business-modelling\page.jsx | app\business-summary\page.jsx | app\cost-summary\page.jsx | components\business-modelling\BusinessModellingBaselineCard.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\business-summary\BusinessSummaryMacroPositionCard.jsx | components\business-summary\BusinessSummarySourceBreakdown.jsx | components\cost-summary\CostSummaryCard.jsx | components\cost-summary\CostSummaryStatusStrip.jsx | components\model-readiness\ModelReadinessAuditPanel.jsx | components\model-readiness\ModelReadinessBaselineInputsCard.jsx | components\recovery-outcome\RecoveryOutcomeMainCard.jsx | components\recovery-summary\RecoverySummaryMainCard.jsx | components\recovery-summary\RecoverySummaryRequirementBlock.jsx | components\recovery-summary\RecoverySummarySourceBreakdown.jsx | components\recovery-summary\RecoverySummaryStatusStrip.jsx | components\recovery-summary\main-card\RecoveryOutcomeDetail.jsx | components\recovery-summary\main-card\RecoverySupportingEvidenceDetail.jsx | components\recovery-summary\main-card\recoverySummaryWarningHelpers.js | components\recovery-summary\recoverySummaryWarningDetails.js | components\revenue-summary\RevenueSummaryMainCard.jsx | components\revenue-summary\RevenueSummaryStatusStrip.jsx | components\revenue-summary\RevenueSummarySummaryCard.jsx | hooks\useBusinessModelling.js | hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useRecoverySummary.js | lib\audit\buildLiveAuditSnapshotExport.js | lib\calculations\businessModellingCalculations.js | lib\calculations\businessSummaryCalculations.js | lib\calculations\cost-allocation\costAllocationInputBuilder.js | lib\calculations\costSummaryCalculations.js | lib\calculations\quoteEngineCalculations.js | lib\calculations\recoveryOutcomeCalculations.js | lib\calculations\recoverySummaryCalculations.js | lib\calculations\revenueSummaryCalculations.js | lib\recovery\recoveryRiskWarningSystem.js | lib\selectors\businessModellingSelectors.js | lib\selectors\businessSummarySelectors.js,appears_in_multiple_files | appears_with_multiple_roles | appears_across_multiple_modules
status,74,44,app | components | hooks | lib,declaration | destructured_name | object_key,status_field,assets | business-modelling | business-setup | business-summary | cost-allocation | cost-summary | employee-overheads-legacy | general-overheads | labour | model-readiness | module-reconciliation | opening-hours | p-and-l | quote-engine-legacy | recovery-outcome-legacy | recovery-summary | revenue-cogs | revenue-reality | unknown,app\api\acc\search\route.js | app\api\demo-login\route.js | app\api\pnl-import\route.js | app\assets\page.jsx | app\business-summary\page.jsx | app\cost-summary\page.jsx | app\dev\model-readiness\page.jsx | app\labour-rate-reality-check\page.jsx | app\materials\page.jsx | app\model-readiness\page.jsx | app\opening-hours\page.jsx | app\p-and-l\page.jsx | app\rates\square-metre\page.jsx | app\recovery-outcome\page.jsx | app\recovery-summary\page.jsx | app\revenue-reality\page.jsx | app\revenue-summary\page.jsx | components\p-and-l\ProfitAndLossProgressPanel.jsx | components\revenue-cogs\RevenueCogXeroImportPanel.jsx | hooks\useAssets.js | hooks\useBusinessModelling.js | hooks\useBusinessSetup.js | hooks\useBusinessSummary.js | hooks\useCostAllocation.js | hooks\useCostSummary.js | hooks\useEmployeeOverheads.js | hooks\useGeneralOverheads.js | hooks\useLabour.js | hooks\useLabourRateRealityCheck.js | hooks\useMaterials.js | hooks\useModelReadiness.js | hooks\useModuleReconciliation.js | hooks\useOpeningHours.js | hooks\useProfitAndLoss.js | hooks\useQuoteEngine.js | hooks\useRecoveryOutcome.js | hooks\useRecoverySummary.js | hooks\useRevenueCogs.js | hooks\useRevenueReality.js | hooks\useRevenueSummary.js,appears_in_multiple_files | appears_across_multiple_modules
warning_count,110,43,app | components | lib,declaration | object_key | snake_case_reference,warning_id,assets | business-modelling | business-setup | business-summary | cost-allocation | general-overheads | labour | opening-hours | recovery-outcome-legacy | recovery-summary | revenue-cogs | revenue-reality | unknown,app\business-summary\page.jsx | app\recovery-summary\page.jsx | app\revenue-cogs\page.jsx | app\revenue-reality\page.jsx | components\assets\AssetStatusStrip.jsx | components\business-setup\BusinessSetupStatusStrip.jsx | components\business-summary\BusinessSummaryStatusStrip.jsx | components\cost-allocation\CostAllocationMainCard.jsx | components\cost-allocation\CostAllocationStatusStrip.jsx | components\general-overheads\GeneralOverheadStatusStrip.jsx | components\labour-rate-reality-check\LabourRateRealityCheckStatusStrip.jsx | components\labour\LabourCompactWorkspaceCard.jsx | components\labour\LabourStatusStrip.jsx | components\materials\MaterialsStatusStrip.jsx | components\opening-hours\OpeningHoursStatusStrip.jsx | components\quick-start\QuickStartStatusStrip.jsx | components\rates\square-metre\SquareMetreRateStatusStrip.jsx | components\recovery-outcome\RecoveryOutcomeStatusStrip.jsx | components\recovery-summary\RecoverySummaryMainCard.jsx | components\recovery-summary\RecoverySummaryNoteDrilldown.jsx | components\recovery-summary\main-card\recoverySummaryWarningHelpers.js | components\revenue-cogs\RevenueCogsStatusStrip.jsx | components\revenue-reality\RevenueRealityStatusStrip.jsx | components\revenue-summary\RevenueSummaryStatusStrip.jsx | lib\calculations\quickStartCalculations.js | lib\recovery\recoveryRiskWarningSystem.js | lib\selectors\assetSelectors.js | lib\selectors\businessModellingSelectors.js | lib\selectors\businessSetupSelectors.js | lib\selectors\businessSummarySelectors.js | lib\selectors\cost-allocation\costAllocationCardSections.js | lib\selectors\cost-allocation\costAllocationCardSelectors.js | lib\selectors\general-overheads\generalOverheadCardSelector.js | lib\selectors\labourRateRealityCheckSelectors.js | lib\selectors\labour\labourStatusSelectors.js | lib\selectors\materialsSelectors.js | lib\selectors\openingHoursSelectors.js | lib\selectors\recoveryOutcomeSelectors.js | lib\selectors\recoverySummarySelectors.js | lib\selectors\revenueCogsSelectors.js,appears_in_multiple_files | appears_across_multiple_modules
