"module_name","variable_name","code_files","notes"
"assets","active_assets",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"assets","asset_detail",,"downstream_contract_candidate"
"assets","asset_finance_benchmark_total",,"downstream_contract_candidate"
"assets","asset_interest_annual",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"assets","asset_operator",,"downstream_contract_candidate"
"assets","asset_output_contract",,"appears_in_multiple_files | downstream_contract_candidate"
"assets","asset_outputs",,"downstream_contract_candidate"
"assets","asset_overhead_pool_assignment_summary",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"assets","asset_overhead_pools",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"assets","asset_recovery_overlay",,"downstream_contract_candidate"
"assets","asset_related_unassigned_cost",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"assets","asset_review_required",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"assets","asset_status",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"assets","assets",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"assets","assets_benchmark_total",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"assets","assets_output",,"downstream_contract_candidate"
"assets","assets_ready",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"assets","assigned_asset_overhead_cost",,"downstream_contract_candidate"
"assets","assigned_asset_overhead_cost_annual",,"multiple_roles_detected | downstream_contract_candidate"
"assets","base_asset_cost_annual",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"assets","build_asset_recovery_overlay",,"downstream_contract_candidate"
"assets","default_recovery_hours",,"downstream_contract_candidate"
"assets","excluded_asset_finance_interest_total",,"downstream_contract_candidate"
"assets","general_overheads",,"downstream_contract_candidate"
"assets","has_productive_asset_recovery_base",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"assets","live_assets",,"downstream_contract_candidate"
"assets","no_active_assets_confirmed",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"assets","output_contract",,"downstream_contract_candidate"
"assets","productive_asset_cost",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"assets","productive_asset_count",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"assets","productive_asset_recovery_cost_annual",,"downstream_contract_candidate"
"assets","recovery_hours_used",,"downstream_contract_candidate"
"assets","safe_array",,"downstream_contract_candidate"
"assets","safe_number",,"downstream_contract_candidate"
"assets","saved_assets",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"assets","support_asset_cost",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"assets","support_asset_count",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"assets","total_allocated_asset_overhead_cost_annual",,"downstream_contract_candidate"
"assets","total_asset_cost_annual",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"assets","total_asset_interest_annual",,"appears_in_multiple_files | downstream_contract_candidate"
"assets","total_asset_recovery_cost_annual",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"assets","total_general_overheads_before_asset_assignment",,"multiple_roles_detected | downstream_contract_candidate"
"assets","total_unassigned_asset_related_overhead_cost_annual",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"business-modelling","active_scenario",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"business-modelling","baseline",,"downstream_contract_candidate"
"business-modelling","baseline_snapshot",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"business-modelling","blocked",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"business-modelling","business_modelling_state",,"downstream_contract_candidate"
"business-modelling","current_margin_per_productive_hour",,"downstream_contract_candidate"
"business-modelling","has_baseline",,"multiple_roles_detected | downstream_contract_candidate"
"business-modelling","modelling_ready",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"business-modelling","output_contract",,"downstream_contract_candidate"
"business-modelling","recovery_gap_per_hour",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"business-modelling","summary_status",,"multiple_roles_detected | downstream_contract_candidate"
"business-modelling","summaryBlocked",,"downstream_contract_candidate"
"business-modelling","summaryWarnings",,"downstream_contract_candidate"
"business-modelling","total_available_hours_before_productivity",,"downstream_contract_candidate"
"business-modelling","total_revenue",,"downstream_contract_candidate"
"business-modelling","weighted_productivity_percent",,"downstream_contract_candidate"
"business-setup","business_name",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"business-setup","business_setup_output_contract",,"appears_in_multiple_files | downstream_contract_candidate"
"business-setup","business_setup_state",,"downstream_contract_candidate"
"business-setup","output_contract",,"downstream_contract_candidate"
"business-summary","business_recovery_hours",,"downstream_contract_candidate"
"business-summary","business_summary",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"business-summary","business_summary_output_contract",,"appears_in_multiple_files | downstream_contract_candidate"
"business-summary","business_summary_outputs",,"downstream_contract_candidate"
"business-summary","business_summary_ready",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"business-summary","business_summary_status",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"business-summary","business_summary_usable",,"downstream_contract_candidate"
"business-summary","business_summary_warnings",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"business-summary","business_type",,"downstream_contract_candidate"
"business-summary","calculations",,"downstream_contract_candidate"
"business-summary","cost_burden_breakdown",,"multiple_roles_detected | downstream_contract_candidate"
"business-summary","is_product_based",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"business-summary","margin_pool",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"business-summary","net_position",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"business-summary","operating_recovery_hours",,"downstream_contract_candidate"
"business-summary","output_contract",,"downstream_contract_candidate"
"business-summary","people",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"business-summary","product_based",,"downstream_contract_candidate"
"business-summary","ready",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"business-summary","recovery_hours_used",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"business-summary","total_available_hours_before_productivity",,"downstream_contract_candidate"
"business-summary","total_recovery_hours",,"downstream_contract_candidate"
"business-summary","total_revenue",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"business-summary","units_sold_annual",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"business-summary","weighted_productivity_percent",,"downstream_contract_candidate"
"cost-allocation","base_calculation_inputs",,"downstream_contract_candidate"
"cost-allocation","build_cost_allocation_output_contract",,"appears_in_multiple_files | downstream_contract_candidate"
"cost-allocation","cost_allocation",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"cost-allocation","cost_allocation_contract",,"downstream_contract_candidate"
"cost-allocation","fallback_recovery_summary",,"downstream_contract_candidate"
"cost-allocation","output_contract",,"appears_in_multiple_files | downstream_contract_candidate"
"cost-allocation","recovery_hours_used",,"downstream_contract_candidate"
"cost-allocation","recovery_outputs",,"multiple_roles_detected | downstream_contract_candidate"
"cost-allocation","recovery_summary",,"appears_in_multiple_files | downstream_contract_candidate"
"cost-summary","category_totals",,"downstream_contract_candidate"
"cost-summary","cost_summary",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"cost-summary","cost_summary_output_contract",,"appears_in_multiple_files | downstream_contract_candidate"
"cost-summary","cost_summary_outputs",,"downstream_contract_candidate"
"cost-summary","cost_summary_ready",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"cost-summary","employer_contribution_totals",,"downstream_contract_candidate"
"cost-summary","entitlement_totals",,"downstream_contract_candidate"
"cost-summary","finance_cost_annual",,"downstream_contract_candidate"
"cost-summary","legacy_display",,"downstream_contract_candidate"
"cost-summary","output_contract",,"appears_in_multiple_files | downstream_contract_candidate"
"cost-summary","required_recovery_rate",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"cost-summary","running_cost_annual",,"downstream_contract_candidate"
"cost-summary","total_available_hours_before_productivity",,"downstream_contract_candidate"
"cost-summary","total_business_cost_annual",,"downstream_contract_candidate"
"cost-summary","total_cost_burden",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"cost-summary","total_people_cost_annual",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"cost-summary","total_recovery_hours",,"downstream_contract_candidate"
"cost-summary","weighted_productivity_percent",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"employee-overheads-legacy","has_employee_overheads",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate | legacy_module_review_required"
"employee-overheads-legacy","output_contract",,"downstream_contract_candidate | legacy_module_review_required"
"employee-overheads-legacy","stored_profiles",,"downstream_contract_candidate | legacy_module_review_required"
"general-overheads","actions",,"downstream_contract_candidate"
"general-overheads","allocation_outputs",,"multiple_roles_detected | downstream_contract_candidate"
"general-overheads","build_general_overhead_allocation_outputs",,"downstream_contract_candidate"
"general-overheads","current_overhead_state",,"downstream_contract_candidate"
"general-overheads","employee_overheads_benchmark_total",,"downstream_contract_candidate"
"general-overheads","employee_overheads_check",,"downstream_contract_candidate"
"general-overheads","employee_overheads_lines",,"downstream_contract_candidate"
"general-overheads","general_overheads",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"general-overheads","general_overheads_benchmark_total",,"downstream_contract_candidate"
"general-overheads","general_overheads_output",,"downstream_contract_candidate"
"general-overheads","general_overheads_output_contract",,"appears_in_multiple_files | downstream_contract_candidate"
"general-overheads","general_overheads_outputs",,"downstream_contract_candidate"
"general-overheads","general_overheads_status",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"general-overheads","grouped_overhead_rows",,"appears_in_multiple_files | downstream_contract_candidate"
"general-overheads","grouped_summary",,"downstream_contract_candidate"
"general-overheads","is_hydrated",,"multiple_roles_detected | downstream_contract_candidate"
"general-overheads","operating_expense_lines",,"downstream_contract_candidate"
"general-overheads","output_contract",,"appears_in_multiple_files | downstream_contract_candidate"
"general-overheads","overhead_rows",,"appears_in_multiple_files | downstream_contract_candidate"
"general-overheads","overhead_state",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"general-overheads","pool_key",,"downstream_contract_candidate"
"general-overheads","system_allocation_amount_overrides",,"multiple_roles_detected | downstream_contract_candidate"
"general-overheads","total_business_overheads",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"general-overheads","total_general_overheads",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"labour","active_staff",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"labour","all_labour_type_rows",,"downstream_contract_candidate"
"labour","build_active_labour_rate_model_for_calculation",,"downstream_contract_candidate"
"labour","build_all_labour_type_rows",,"appears_in_multiple_files | downstream_contract_candidate"
"labour","build_cost_allocation_output_contract",,"appears_in_multiple_files | downstream_contract_candidate"
"labour","build_labour_rate_result_metrics",,"downstream_contract_candidate"
"labour","build_labour_type_rows_by_class",,"downstream_contract_candidate"
"labour","build_productive_labour_type_rows",,"appears_in_multiple_files | downstream_contract_candidate"
"labour","build_support_labour_type_rows",,"appears_in_multiple_files | downstream_contract_candidate"
"labour","cost_allocation",,"appears_in_multiple_files | downstream_contract_candidate"
"labour","cost_allocation_output_contract",,"downstream_contract_candidate"
"labour","expected_labour_margin_percent",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"labour","get_nested_value",,"downstream_contract_candidate"
"labour","is_labour_based",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"labour","is_labour_reality",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"labour","labour",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"labour","labour_based",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"labour","labour_benchmark_total",,"downstream_contract_candidate"
"labour","labour_data",,"downstream_contract_candidate"
"labour","labour_hours",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"labour","labour_output",,"appears_in_multiple_files | downstream_contract_candidate"
"labour","labour_output_contract",,"appears_in_multiple_files | downstream_contract_candidate"
"labour","labour_outputs",,"appears_in_multiple_files | downstream_contract_candidate"
"labour","labour_pct",,"downstream_contract_candidate"
"labour","labour_profiles",,"downstream_contract_candidate"
"labour","labour_rate",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"labour","labour_rate_reality_check",,"downstream_contract_candidate"
"labour","labour_ready",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"labour","labour_status",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"labour","labour_value",,"downstream_contract_candidate"
"labour","output_contract",,"appears_in_multiple_files | downstream_contract_candidate"
"labour","productive_hours",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"labour","productive_labour_cost_rate",,"downstream_contract_candidate"
"labour","productive_labour_type_rows",,"downstream_contract_candidate"
"labour","productive_labour_types",,"downstream_contract_candidate"
"labour","productive_rows",,"downstream_contract_candidate"
"labour","productive_staff_type_rate_warnings",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"labour","productive_staff_type_rates",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"labour","profile_rows",,"downstream_contract_candidate"
"labour","rate_builder_labour_recovery_rows",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"labour","recovery_plan",,"appears_in_multiple_files | downstream_contract_candidate"
"labour","required_labour_burden_rate",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"labour","required_labour_class",,"downstream_contract_candidate"
"labour","safe_array",,"downstream_contract_candidate"
"labour","staff_rows",,"downstream_contract_candidate"
"labour","support_labour_type_rows",,"downstream_contract_candidate"
"labour","support_rows",,"downstream_contract_candidate"
"labour","total_labour_cost_annual",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"labour","total_productive_labour_cost",,"downstream_contract_candidate"
"labour","total_productive_labour_hours",,"downstream_contract_candidate"
"labour","total_productive_output",,"appears_in_multiple_files | downstream_contract_candidate"
"labour","total_productive_paid_hours",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"labour","total_staff_recovery_hours",,"appears_in_multiple_files | downstream_contract_candidate"
"labour","weighted_all_productive_labour_rate",,"downstream_contract_candidate"
"labour","weighted_all_productive_productivity_percent",,"downstream_contract_candidate"
"model-readiness","model_readiness",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"model-readiness","model_readiness_status",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"model-readiness","model_ready",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"model-readiness","model_trust_state",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"model-readiness","output_contract",,"downstream_contract_candidate"
"model-readiness","quote_model_trust_state",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"module-reconciliation","acc_work_levy_annual",,"downstream_contract_candidate"
"module-reconciliation","finance_cost_annual",,"downstream_contract_candidate"
"module-reconciliation","has_legacy_running_cost",,"multiple_roles_detected | downstream_contract_candidate"
"module-reconciliation","is_ready",,"multiple_roles_detected | downstream_contract_candidate"
"module-reconciliation","legacy_running_cost_check",,"downstream_contract_candidate"
"module-reconciliation","output_contract",,"appears_in_multiple_files | downstream_contract_candidate"
"module-reconciliation","running_cost_annual",,"downstream_contract_candidate"
"module-reconciliation","total_acc_levy_annual",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"module-reconciliation","total_business_costs",,"downstream_contract_candidate"
"module-reconciliation","total_other_income",,"downstream_contract_candidate"
"module-reconciliation","unassigned_balance",,"downstream_contract_candidate"
"opening-hours","macro_required_operating_hour_rate",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"opening-hours","net_annual_business_open_hours",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"opening-hours","opening_hours_module",,"downstream_contract_candidate"
"p-and-l","assets_benchmark_total",,"downstream_contract_candidate"
"p-and-l","build_general_overheads_from_pnl",,"downstream_contract_candidate"
"p-and-l","build_pnl_sync_signature",,"downstream_contract_candidate"
"p-and-l","build_reconciliation",,"downstream_contract_candidate"
"p-and-l","build_unassigned_details",,"downstream_contract_candidate"
"p-and-l","build_warnings",,"downstream_contract_candidate"
"p-and-l","direct_cost_category_totals",,"downstream_contract_candidate"
"p-and-l","employee_overheads_benchmark_total",,"downstream_contract_candidate"
"p-and-l","excluded_asset_finance_interest_total",,"downstream_contract_candidate"
"p-and-l","format_number",,"downstream_contract_candidate"
"p-and-l","general_overheads_benchmark_total",,"downstream_contract_candidate"
"p-and-l","good",,"multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate"
"p-and-l","gross_profit",,"downstream_contract_candidate"
"p-and-l","hired_equipment_cost",,"downstream_contract_candidate"
"p-and-l","labour_benchmark_total",,"downstream_contract_candidate"
"p-and-l","materials_cost",,"downstream_contract_candidate"
"p-and-l","model_total_costs",,"downstream_contract_candidate"
"p-and-l","net_profit",,"downstream_contract_candidate"
"p-and-l","output_contract",,"appears_in_multiple_files | downstream_contract_candidate"
"p-and-l","pnl_interest_marked_asset_finance_total",,"appears_in_multiple_files | downstream_contract_candidate"
"p-and-l","pnl_interest_total",,"downstream_contract_candidate"
"p-and-l","pnl_output",,"downstream_contract_candidate"
