"file_path","file_name","source_area","line_number","variable_name","variable_style","extraction_type","likely_role","module_hint","context"
"components\employee-overheads\EmployeeOverheadCustomList.jsx","EmployeeOverheadCustomList.jsx","components","108","Active","PascalCase","quoted_object_key","object_field","","<div className=""mt-2 text-sm text-[var(--text-muted)]""> {row.is_active ? ""Active"" : ""Inactive""} </div>"
"components\employee-overheads\EmployeeOverheadLibraryCard.jsx","EmployeeOverheadLibraryCard.jsx","components","141","Active","PascalCase","quoted_object_key","object_field","","<div className=""mt-2 text-sm text-[var(--text-muted)]""> {item.is_active ? ""Active"" : ""Inactive""} ? Default{"" ""} {format_currency(item.default_amount_annual)}"
"components\recovery-outcome\RecoveryOutcomeStatusStrip.jsx","RecoveryOutcomeStatusStrip.jsx","components","40","Allocation","PascalCase","object_key","object_field","","<Pill label={`Allocation: ${allocation_status}`} tone={"
"lib\recovery\recoveryRiskWarningSystem.js","recoveryRiskWarningSystem.js","lib","2","BLOCKING","PascalCase","object_key","warning_id","","const WARNING_SEVERITY = { BLOCKING: ""blocking"", REVIEW: ""review"","
"components\employee-overheads\EmployeeOverheadHelpPanel.jsx","EmployeeOverheadHelpPanel.jsx","components","23","Collapse","PascalCase","quoted_object_key","object_field","","> {is_open ? ""Collapse"" : ""Expand""} </button>"
"components\employee-overheads\EmployeeOverheadLibraryCard.jsx","EmployeeOverheadLibraryCard.jsx","components","54","Collapse","PascalCase","quoted_object_key","object_field","","> {is_open ? ""Collapse"" : ""Expand""} </button>"
"lib\recovery\recoveryRiskWarningSystem.js","recoveryRiskWarningSystem.js","lib","13","DRIVER","PascalCase","object_key","warning_id","","SHARE_TOTAL: 50, DRIVER: 60, INFO: 90,"
"components\recovery-outcome\RecoveryOutcomeStatusStrip.jsx","RecoveryOutcomeStatusStrip.jsx","components","54","Dependency","PascalCase","object_key","object_field","","<Pill label={`Model: ${active_recovery_model}`} tone=""ok"" /> <Pill label={`Dependency: ${dependency_level}`} tone=""ok"" /> <Pill"
"lib\recovery\recoveryRiskWarningSystem.js","recoveryRiskWarningSystem.js","lib","9","GROSS_PROFIT","constant","object_key","warning_id","","SOURCE_TRUST: 10, GROSS_PROFIT: 20, RECOVERY_RATE: 30,"
"components\recovery-outcome\RecoveryOutcomeMainCard.jsx","RecoveryOutcomeMainCard.jsx","components","84","Health","PascalCase","object_key","object_field","","<Pill label={`Health: ${outcome_context.business_model_health || ""unknown""}`} tone={banner_tone}"
"components\revenue-summary\RevenueSummaryStatusStrip.jsx","RevenueSummaryStatusStrip.jsx","components","44","Health","PascalCase","object_key","object_field","","/> <Pill text={`Health: ${health}`} tone={health} /> <Pill"
"components\revenue-summary\RevenueSummarySummaryCard.jsx","RevenueSummarySummaryCard.jsx","components","50","Health","PascalCase","object_key","object_field","","<div className=""ui-actions""> <Pill text={`Health: ${health}`} tone={health} /> </div>"
"components\common\CollapsibleSection.jsx","CollapsibleSection.jsx","components","40","Hide","PascalCase","quoted_object_key","object_field","","<span className=""ml-4 text-sm text-[var(--text-muted)]""> {is_open ? ""Hide"" : ""Show""} </span>"
"lib\recovery\recoveryRiskWarningSystem.js","recoveryRiskWarningSystem.js","lib","14","INFO","PascalCase","object_key","warning_id","","DRIVER: 60, INFO: 90, };"
"lib\recovery\recoveryRiskWarningSystem.js","recoveryRiskWarningSystem.js","lib","4","INFO","PascalCase","object_key","warning_id","","REVIEW: ""review"", INFO: ""info"", };"
"hooks\useProfitAndLoss.js","useProfitAndLoss.js","hooks","95","Loaded","PascalCase","object_key","object_field","","set_profit_and_loss_state(profile.state); set_save_message(`Loaded: ${profile.label}`); set_show_saved_snapshots(false);"
"components\materials\MaterialsStatusStrip.jsx","MaterialsStatusStrip.jsx","components","58","Margin","PascalCase","object_key","object_field","","<Pill text={`Margin: ${margin_health}`} tone={margin_health}"
"components\recovery-outcome\RecoveryOutcomeStatusStrip.jsx","RecoveryOutcomeStatusStrip.jsx","components","53","Model","PascalCase","object_key","object_field","","/> <Pill label={`Model: ${active_recovery_model}`} tone=""ok"" /> <Pill label={`Dependency: ${dependency_level}`} tone=""ok"" />"
"components\recovery-outcome\RecoveryOutcomeStatusStrip.jsx","RecoveryOutcomeStatusStrip.jsx","components","36","Outcome","PascalCase","object_key","object_field","","<Pill label={`Outcome: ${outcome_status}`} tone={outcome_status_tone}"
"components\model-readiness\ModelReadinessVarianceBreakdown.jsx","ModelReadinessVarianceBreakdown.jsx","components","36","PASS","PascalCase","quoted_object_key","object_field","","title: override_title, pill: variance_amount < 1 || variance_percent < 1 ? ""PASS"" : ""REVIEW"", severity: variance_amount < 1 || variance_percent < 1 ? ""clear"" : ""minor"","
"lib\audit\buildLiveAuditSnapshotExport.js","buildLiveAuditSnapshotExport.js","lib","5","Purpose","PascalCase","object_key","object_field","","* * Purpose: * Build the app-state JSON contract required by:"
