"Count","Name"
"476","lib\recovery\recoveryRiskWarningSystem.js"
"259","hooks\useBusinessModelling.js"
"231","lib\storage\profitAndLossStorage.js"
"223","lib\reconciliation\reconciliationRules.js"
"206","hooks\useCostSummary.js"
"201","lib\calculations\recoveryOutcomeCalculations.js"
"188","hooks\useGeneralOverheads.js"
"186","lib\selectors\profitAndLossSelectors.js"
"162","hooks\useBusinessSummary.js"
"145","lib\selectors\quickStartSelectors.js"
"145","lib\imports\xeroCogImporter.js"
"132","lib\selectors\recoverySummarySelectors.js"
"127","lib\storage\quoteEngineStorage.js"
"111","lib\calculations\recoverySummaryCalculations.js"
"97","hooks\useCostAllocation.js"
"91","hooks\useQuoteEngine.js"
"91","lib\selectors\quoteEngineSelectors.js"
"86","lib\storage\costAllocationStorage.js"
"86","lib\calculations\costAllocationRules.js"
"80","hooks\useRevenueCogs.js"
"63","lib\selectors\businessSummarySelectors.js"
"61","hooks\useRevenueReality.js"
"60","lib\calculations\openingHoursCalculations.js"
"60","lib\storage\openingHoursStorage.js"
"58","hooks\useRecoverySummary.js"
"57","lib\storage\generalOverheadStorage.js"
"56","lib\selectors\costSummarySelectors.js"
"55","components\model-readiness\ModelReadinessAuditPanel.jsx"
"52","lib\storage\profitAndLossProfileStorage.js"
"46","lib\calculations\quoteEngineCalculations.js"
"45","lib\calculations\revenueCogsCalculations.js"
"45","lib\calculations\revenueRealityCalculations.js"
"44","components\model-readiness\ModelReadinessVarianceBreakdown.jsx"
"43","lib\selectors\businessModellingSelectors.js"
"37","lib\selectors\revenueCogsSelectors.js"
"35","components\layout\SidebarNavigation.jsx"
"33","lib\storage\employeeOverheadProfileStorage.js"
"32","lib\calculations\businessModellingCalculations.js"
"31","lib\storage\costAllocationProfileStorage.js"
"30","lib\calculations\profitAndLossCalculations.js"
"29","lib\audit\buildLiveAuditSnapshotExport.js"
"28","lib\reconciliation\moduleReconciliation.js"
"27","hooks\useEmployeeOverheads.js"
"25","hooks\useProfitAndLoss.js"
"25","lib\storage\revenueCogsStorage.js"
"22","app\dev\model-readiness\page.jsx"
"22","components\model-readiness\ModelReadinessStatusStrip.jsx"
"22","lib\selectors\recoveryOutcomeSelectors.js"
"21","lib\data\accLevyRates2026_2027.js"
"20","components\quote-engine\QuoteEngineStatusStrip.jsx"
"19","lib\selectors\openingHoursSelectors.js"
"18","lib\storage\revenueSummaryStorage.js"
"18","components\recovery-outcome\RecoveryOutcomeStatusStrip.jsx"
"17","hooks\useBusinessSetup.js"
"17","app\model-readiness\page.jsx"
"16","components\recovery-outcome\RecoveryOutcomeMainCard.jsx"
"16","lib\storage\quickStartStorage.js"
"15","lib\calculations\modelReadinessCalculations.js"
"15","components\opening-hours\OpeningHoursMainCard.jsx"
"15","lib\storage\squareMetreRateStorage.js"
"14","lib\calculations\businessSummaryCalculations.js"
"14","lib\storage\generalOverheadProfileStorage.js"
"14","lib\storage\materialsStorage.js"
"14","lib\selectors\employeeOverheadSelectors.js"
"14","hooks\useOpeningHours.js"
"13","components\employee-overheads\EmployeeOverheadLibraryCard.jsx"
"12","lib\storage\recoverySummaryStorage.js"
"12","components\quote-engine\QuoteEngineSideCard.jsx"
"12","components\materials\MaterialsStatusStrip.jsx"
"12","components\quick-start\QuickStartMainCard.jsx"
"12","lib\calculations\generalOverheadCalculations.js"
"11","lib\selectors\revenueRealitySelectors.js"
"11","lib\storage\businessModellingStorage.js"
"11","lib\selectors\squareMetreRateSelectors.js"
"10","app\recovery-outcome\page.jsx"
"10","lib\calculations\materialsCalculations.js"
"10","lib\storage\assetProfileStorage.js"
"10","components\rates\square-metre\SquareMetreRateStatusStrip.jsx"
"10","components\opening-hours\OpeningHoursStatusStrip.jsx"
"9","lib\storage\businessSetupStorage.js"
"9","components\quote-engine\QuoteEngineMainCard.jsx"
"9","lib\calculations\costSummaryCalculations.js"
"9","hooks\useQuickStart.js"
"9","lib\storage\employeeOverheadLibraryStorage.js"
"9","lib\calculations\assetCalculations.js"
"8","hooks\useModelReadiness.js"
"8","app\api\demo-login\route.js"
"8","lib\selectors\recoveryAnalysisSelectors.js"
"8","components\common\ReclassificationBoard.jsx"
"8","lib\selectors\businessSetupSelectors.js"
"8","components\employee-overheads\EmployeeOverheadCustomList.jsx"
"7","components\model-readiness\ModelReadinessDiagnosticSection.jsx"
"7","components\model-readiness\ModelReadinessBaselineInputsCard.jsx"
"7","lib\calculations\revenueSummaryCalculations.js"
"7","lib\selectors\revenueSummarySelectors.js"
"7","lib\calculations\quickStartCalculations.js"
"7","components\revenue-summary\RevenueSummaryStatusStrip.jsx"
"7","components\recovery-outcome\RecoveryOutcomeAnalysisCard.jsx"
"6","app\api\acc\search\route.js"
"6","app\quote-engine\page.jsx"
