"module_name","variable_name","audit_status","same_variable_exists_in_brief","brief_lookup_column_used","brief_modules_or_files_with_same_variable","pass_3_review_type","recommended_decision","reviewer_notes","code_files","notes"
"assets","asset_detail","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useCostSummary.js","implemented_contract_not_documented_in_brief"
"assets","asset_operator","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","lib\selectors\quickStartSelectors.js","implemented_contract_not_documented_in_brief"
"assets","asset_outputs","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useRecoverySummary.js","implemented_contract_not_documented_in_brief"
"assets","asset_overhead_pools","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","components\general-overheads\GeneralOverheadSummaryCard.jsx | hooks\useAssets.js | hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"assets","asset_recovery_overlay","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useCostAllocation.js","implemented_contract_not_documented_in_brief"
"assets","asset_review_required","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useAssets.js | hooks\useCostSummary.js | hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"assets","assets","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","app\cost-summary\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\business-summary\BusinessSummaryMacroPositionCard.jsx | hooks\useAssets.js | hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js","implemented_contract_not_documented_in_brief"
"assets","build_asset_recovery_overlay","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\cost-allocation\useCostAllocationAssetOverlay.js","implemented_contract_not_documented_in_brief"
"assets","general_overheads","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useAssets.js","implemented_contract_not_documented_in_brief"
"assets","live_assets","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useAssets.js","implemented_contract_not_documented_in_brief"
"assets","safe_array","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\cost-allocation\useCostAllocationAssetOverlay.js","implemented_contract_not_documented_in_brief"
"assets","safe_number","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\cost-allocation\useCostAllocationAssetOverlay.js","implemented_contract_not_documented_in_brief"
"assets","saved_assets","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useAssets.js | lib\selectors\assetSelectors.js","implemented_contract_not_documented_in_brief"
"business-modelling","active_scenario","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useBusinessModelling.js | lib\selectors\businessModellingSelectors.js","implemented_contract_not_documented_in_brief"
"business-modelling","baseline","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useBusinessModelling.js","implemented_contract_not_documented_in_brief"
"business-modelling","baseline_snapshot","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useBusinessModelling.js | lib\calculations\businessModellingCalculations.js | lib\storage\businessModellingStorage.js","implemented_contract_not_documented_in_brief"
"business-modelling","blocked","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useBusinessModelling.js | lib\calculations\businessModellingCalculations.js | lib\selectors\businessModellingSelectors.js","implemented_contract_not_documented_in_brief"
"business-modelling","business_modelling_state","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useBusinessModelling.js","implemented_contract_not_documented_in_brief"
"business-modelling","summaryBlocked","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useBusinessModelling.js","implemented_contract_not_documented_in_brief"
"business-modelling","summaryWarnings","code_only_not_in_brief","no","file_path","","new_contract_or_internal_review","","","hooks\useBusinessModelling.js","implemented_contract_not_documented_in_brief"
