"module_name","variable_name","pass_4_decision","reviewer_notes","code_files","notes"
"business-modelling","active_scenario","add_to_current_module_contract","Business Modelling-owned scenario, baseline, blocked, or warning output. Add to output contract.","hooks\useBusinessModelling.js | lib\selectors\businessModellingSelectors.js","implemented_contract_not_documented_in_brief"
"business-modelling","baseline","add_to_current_module_contract","Business Modelling-owned scenario, baseline, blocked, or warning output. Add to output contract.","hooks\useBusinessModelling.js","implemented_contract_not_documented_in_brief"
"business-modelling","baseline_snapshot","add_to_current_module_contract","Business Modelling-owned scenario, baseline, blocked, or warning output. Add to output contract.","hooks\useBusinessModelling.js | lib\calculations\businessModellingCalculations.js | lib\storage\businessModellingStorage.js","implemented_contract_not_documented_in_brief"
"business-modelling","blocked","add_to_current_module_contract","Business Modelling-owned scenario, baseline, blocked, or warning output. Add to output contract.","hooks\useBusinessModelling.js | lib\calculations\businessModellingCalculations.js | lib\selectors\businessModellingSelectors.js","implemented_contract_not_documented_in_brief"
"business-modelling","summaryBlocked","add_to_current_module_contract","Business Modelling-owned scenario, baseline, blocked, or warning output. Add to output contract.","hooks\useBusinessModelling.js","implemented_contract_not_documented_in_brief"
"business-modelling","summaryWarnings","add_to_current_module_contract","Business Modelling-owned scenario, baseline, blocked, or warning output. Add to output contract.","hooks\useBusinessModelling.js","implemented_contract_not_documented_in_brief"
"cost-allocation","base_calculation_inputs","add_to_current_module_contract","Cost Allocation-owned calculation/recovery output. Add to output contract.","hooks\useCostAllocation.js","implemented_contract_not_documented_in_brief"
"cost-allocation","fallback_recovery_summary","add_to_current_module_contract","Cost Allocation-owned calculation/recovery output. Add to output contract.","hooks\useCostAllocation.js","implemented_contract_not_documented_in_brief"
"cost-allocation","recovery_outputs","add_to_current_module_contract","Cost Allocation-owned calculation/recovery output. Add to output contract.","lib\calculations\cost-allocation\costAllocationInputBuilder.js","implemented_contract_not_documented_in_brief"
"general-overheads","general_overheads_benchmark_total","add_to_current_module_contract","General Overheads-owned output/configuration value emitted by the module. Add to output contract.","lib\reconciliation\reconciliationRules.js","implemented_contract_not_documented_in_brief"
"general-overheads","system_allocation_amount_overrides","add_to_current_module_contract","General Overheads-owned output/configuration value emitted by the module. Add to output contract.","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
