"module_name","variable_name","audit_status","prior_classification","prior_recommended_action","pass_4_decision","reviewer_notes","code_files","notes"
"assets","asset_detail","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","hooks\useCostSummary.js","implemented_contract_not_documented_in_brief"
"assets","asset_operator","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","lib\selectors\quickStartSelectors.js","implemented_contract_not_documented_in_brief"
"assets","asset_outputs","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","hooks\useRecoverySummary.js","implemented_contract_not_documented_in_brief"
"assets","asset_overhead_pools","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","components\general-overheads\GeneralOverheadSummaryCard.jsx | hooks\useAssets.js | hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"assets","asset_recovery_overlay","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","hooks\useCostAllocation.js","implemented_contract_not_documented_in_brief"
"assets","asset_review_required","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","hooks\useAssets.js | hooks\useCostSummary.js | hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"assets","assets","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","app\cost-summary\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\business-summary\BusinessSummaryMacroPositionCard.jsx | hooks\useAssets.js | hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js","implemented_contract_not_documented_in_brief"
"assets","build_asset_recovery_overlay","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","","","hooks\cost-allocation\useCostAllocationAssetOverlay.js","implemented_contract_not_documented_in_brief"
"assets","general_overheads","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","hooks\useAssets.js","implemented_contract_not_documented_in_brief"
"assets","live_assets","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","hooks\useAssets.js","implemented_contract_not_documented_in_brief"
"assets","safe_array","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","","","hooks\cost-allocation\useCostAllocationAssetOverlay.js","implemented_contract_not_documented_in_brief"
"assets","safe_number","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","","","hooks\cost-allocation\useCostAllocationAssetOverlay.js","implemented_contract_not_documented_in_brief"
"assets","saved_assets","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","hooks\useAssets.js | lib\selectors\assetSelectors.js","implemented_contract_not_documented_in_brief"
