"module_name","variable_name","audit_status","prior_classification","prior_recommended_action","pass_4_decision","reviewer_notes","code_files","notes"
"labour","build_active_labour_rate_model_for_calculation","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","","","hooks\rate-builder\useRateBuilderLabourRates.js","implemented_contract_not_documented_in_brief"
"labour","build_all_labour_type_rows","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","","","hooks\useCostAllocation.js | lib\calculations\cost-allocation\costAllocationLabourAdapter.js","implemented_contract_not_documented_in_brief"
"labour","build_cost_allocation_output_contract","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","","","hooks\rate-builder\useRateBuilderLabourRates.js | lib\selectors\rate-builder\rateBuilderLabourModelSelectors.js","implemented_contract_not_documented_in_brief"
"labour","build_labour_rate_result_metrics","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","","","hooks\rate-builder\useRateBuilderLabourRates.js","implemented_contract_not_documented_in_brief"
"labour","build_labour_type_rows_by_class","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","","","lib\calculations\cost-allocation\costAllocationLabourAdapter.js","implemented_contract_not_documented_in_brief"
"labour","build_productive_labour_type_rows","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","","","hooks\useCostAllocation.js | lib\calculations\cost-allocation\costAllocationLabourAdapter.js","implemented_contract_not_documented_in_brief"
"labour","build_support_labour_type_rows","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","","","hooks\useCostAllocation.js | lib\calculations\cost-allocation\costAllocationLabourAdapter.js","implemented_contract_not_documented_in_brief"
"labour","cost_allocation","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","hooks\rate-builder\useRateBuilderLabourRates.js | lib\selectors\rate-builder\rateBuilderLabourModelSelectors.js","implemented_contract_not_documented_in_brief"
"labour","get_nested_value","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","","","lib\selectors\rate-builder\rateBuilderLabourSourceSelectors.js","implemented_contract_not_documented_in_brief"
"labour","labour","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","app\cost-summary\page.jsx | hooks\useBusinessSummary.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js","implemented_contract_not_documented_in_brief"
"labour","labour_based","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","hooks\useRevenueReality.js | lib\calculations\recoverySummaryCalculations.js","implemented_contract_not_documented_in_brief"
"labour","labour_benchmark_total","code_only_not_in_brief","not_preclassified","manual_review_required","","","lib\reconciliation\reconciliationRules.js","implemented_contract_not_documented_in_brief"
"labour","labour_data","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","hooks\useCostSummary.js","implemented_contract_not_documented_in_brief"
"labour","labour_pct","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","lib\selectors\quickStartSelectors.js","implemented_contract_not_documented_in_brief"
"labour","labour_profiles","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","hooks\useEmployeeOverheads.js","implemented_contract_not_documented_in_brief"
"labour","labour_rate_reality_check","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","lib\selectors\quickStartSelectors.js","implemented_contract_not_documented_in_brief"
"labour","labour_value","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","lib\selectors\quickStartSelectors.js","implemented_contract_not_documented_in_brief"
"labour","productive_labour_types","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","hooks\useCostSummary.js","implemented_contract_not_documented_in_brief"
"labour","recovery_plan","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","lib\selectors\rate-builder\rateBuilderLabourModelSelectors.js | lib\selectors\rate-builder\rateBuilderLabourSourceSelectors.js","implemented_contract_not_documented_in_brief"
"labour","required_labour_class","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","lib\calculations\cost-allocation\costAllocationLabourAdapter.js","implemented_contract_not_documented_in_brief"
"labour","safe_array","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","","","lib\calculations\cost-allocation\costAllocationLabourAdapter.js","implemented_contract_not_documented_in_brief"
