"module_name","variable_name","audit_status","prior_classification","prior_recommended_action","pass_4_decision","reviewer_notes","code_files","notes"
"p-and-l","build_general_overheads_from_pnl","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","","","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"p-and-l","build_pnl_sync_signature","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","","","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"p-and-l","build_reconciliation","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","","","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","build_unassigned_details","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","","","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","build_warnings","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","","","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief | warnings_field"
"p-and-l","format_number","code_only_not_in_brief","internal_helper_do_not_brief","reject_from_output_contract_brief","","","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","good","code_only_not_in_brief","display_only_do_not_brief","reject_from_output_contract_brief","","","components\p-and-l\ProfitAndLossStatusStrip.jsx | lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","label","code_only_not_in_brief","display_only_do_not_brief","reject_from_output_contract_brief","","","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","pnl_sync_signature","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","hooks\useGeneralOverheads.js","implemented_contract_not_documented_in_brief"
"p-and-l","profit_and_loss","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","components\model-readiness\ModelReadinessAuditPanel.jsx | hooks\useRevenueCogs.js","implemented_contract_not_documented_in_brief"
"p-and-l","profit_and_loss_state","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","hooks\useGeneralOverheads.js | hooks\useProfitAndLoss.js","implemented_contract_not_documented_in_brief"
"p-and-l","Ready","code_only_not_in_brief","display_only_do_not_brief","reject_from_output_contract_brief","","","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","reconciliation","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","state","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","hooks\useProfitAndLoss.js | lib\storage\profitAndLossProfileStorage.js","implemented_contract_not_documented_in_brief"
"p-and-l","summary","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","tone","code_only_not_in_brief","display_only_do_not_brief","reject_from_output_contract_brief","","","components\p-and-l\ProfitAndLossProgressPanel.jsx | lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","total_other_income","code_only_not_in_brief","not_preclassified","manual_review_required","","","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","value","code_only_not_in_brief","display_only_do_not_brief","reject_from_output_contract_brief","","","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","variance","code_only_not_in_brief","owner_review_required","manual_owner_review_before_briefing","","","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","warn","code_only_not_in_brief","display_only_do_not_brief","reject_from_output_contract_brief","","","components\p-and-l\ProfitAndLossStatusStrip.jsx | lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","warnings","code_only_not_in_brief","accept_contract_field","add_to_v5_module_brief_output_contract","","","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
