"module_name","variable_name","audit_status","code_present","brief_present","code_role","brief_role","code_files","brief_files","notes"
"assets","asset_detail","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"assets","asset_outputs","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"assets","asset_overhead_pools","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"assets","asset_recovery_overlay","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"assets","assets","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"assets","build_asset_recovery_overlay","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"assets","general_overheads","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"assets","live_assets","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"assets","safe_array","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"assets","safe_number","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"assets","saved_assets","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"business-modelling","baseline","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"business-modelling","blocked","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"business-modelling","business_modelling_state","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"business-modelling","summaryBlocked","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"business-modelling","summaryWarnings","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"business-setup","business_setup_output_contract","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"business-setup","business_setup_state","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"business-summary","business_summary","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"business-summary","calculations","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"business-summary","people","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"business-summary","ready","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"cost-allocation","build_cost_allocation_output_contract","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"cost-allocation","cost_allocation","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"cost-allocation","cost_allocation_contract","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"cost-allocation","recovery_summary","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"cost-summary","cost_summary","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"cost-summary","legacy_display","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"general-overheads","actions","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"general-overheads","allocation_outputs","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"general-overheads","build_general_overhead_allocation_outputs","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"general-overheads","current_overhead_state","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"general-overheads","employee_overheads_check","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"general-overheads","general_overheads","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"general-overheads","overhead_state","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"general-overheads","pool_key","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"labour","build_active_labour_rate_model_for_calculation","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"labour","build_all_labour_type_rows","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"labour","build_cost_allocation_output_contract","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"labour","build_labour_rate_result_metrics","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"labour","build_labour_type_rows_by_class","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"labour","build_productive_labour_type_rows","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"labour","build_support_labour_type_rows","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"labour","cost_allocation","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"labour","get_nested_value","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"labour","labour","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"labour","labour_data","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"labour","labour_profiles","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"labour","labour_rate_reality_check","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"labour","productive_labour_types","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"labour","recovery_plan","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"labour","safe_array","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"model-readiness","model_readiness","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"p-and-l","build_general_overheads_from_pnl","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"p-and-l","build_pnl_sync_signature","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"p-and-l","build_reconciliation","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"p-and-l","build_unassigned_details","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"p-and-l","build_warnings","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief | warnings_field"
"p-and-l","format_number","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"p-and-l","good","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"p-and-l","pnl_sync_signature","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"p-and-l","profit_and_loss","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"p-and-l","profit_and_loss_state","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"p-and-l","Ready","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"p-and-l","reconciliation","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"p-and-l","state","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"p-and-l","summary","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"p-and-l","tone","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"p-and-l","variance","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"p-and-l","warn","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"p-and-l","warnings","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"quick-start","label","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"quick-start","perfectly","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"quick-start","realistically","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"quick-start","value","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"recovery-summary","recovery_summary","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"recovery-summary","recovery_summary_contract","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"revenue-cogs","business_setup","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"revenue-cogs","calculations","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"revenue-cogs","revenue_cogs","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"revenue-cogs","revenue_cogs_state","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"revenue-reality","business_setup","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
"revenue-reality","calculations","code_only_not_in_brief","yes","no","","","","","implemented_contract_not_documented_in_brief"
