module_name,variable_name,likely_role,variable_style,occurrence_count,source_areas,source_files,first_seen_file,first_seen_line,extraction_types,notes
assets,active_assets,output_contract_field,snake_case,11,hooks | lib,hooks\cost-allocation\useCostAllocationAssetOverlay.js | hooks\useAssets.js | hooks\useCostAllocation.js | hooks\useCostSummary.js | lib\reconciliation\reconciliationRules.js,hooks\cost-allocation\useCostAllocationAssetOverlay.js,32,declaration | object_key | snake_case_reference,multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate
assets,asset_detail,output_contract_field,snake_case,1,hooks,hooks\useCostSummary.js,hooks\useCostSummary.js,48,object_key,downstream_contract_candidate
assets,asset_finance_benchmark_total,output_contract_field,snake_case,1,lib,lib\reconciliation\reconciliationRules.js,lib\reconciliation\reconciliationRules.js,219,declaration,downstream_contract_candidate
assets,asset_interest_annual,output_contract_field,snake_case,3,hooks | lib,hooks\useAssets.js | lib\reconciliation\reconciliationRules.js,hooks\useAssets.js,378,object_key | snake_case_reference,multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate
assets,asset_operator,output_contract_field,snake_case,1,lib,lib\selectors\quickStartSelectors.js,lib\selectors\quickStartSelectors.js,48,snake_case_reference,downstream_contract_candidate
assets,asset_output_contract,output_contract_field,snake_case,68,hooks | lib,hooks\cost-allocation\useCostAllocationAssetOverlay.js | hooks\useCostAllocation.js | hooks\useCostSummary.js | lib\reconciliation\moduleReconciliation.js | lib\reconciliation\reconciliationRules.js,hooks\cost-allocation\useCostAllocationAssetOverlay.js,29,declaration | object_key | snake_case_reference,appears_in_multiple_files | downstream_contract_candidate
assets,asset_outputs,output_contract_field,snake_case,1,hooks,hooks\useRecoverySummary.js,hooks\useRecoverySummary.js,30,declaration,downstream_contract_candidate
assets,asset_overhead_pool_assignment_summary,output_contract_field,snake_case,4,hooks,hooks\useAssets.js | hooks\useCostSummary.js,hooks\useAssets.js,599,object_key | snake_case_reference,multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate
assets,asset_overhead_pools,output_contract_field,snake_case,6,components | hooks,components\general-overheads\GeneralOverheadSummaryCard.jsx | hooks\useAssets.js | hooks\useGeneralOverheads.js,components\general-overheads\GeneralOverheadSummaryCard.jsx,179,declaration | object_key | snake_case_reference,multiple_roles_detected | appears_in_multiple_files | downstream_contract_candidate
assets,asset_recovery_overlay,output_contract_field,snake_case,1,hooks,hooks\useCostAllocation.js,hooks\useCostAllocation.js,87,declaration,downstream_contract_candidate
