"Count","Name"
"200","output_contract"
"107","updated_at"
"83","is_active"
"67","warning_id"
"63","asset_output_contract"
"59","created_at"
"53","status"
"53","message"
"44","cost_summary_output_contract"
"41","Warnings"
"41","category"
"41","model_trust_state"
"39","amount"
"39","is_open"
"38","line_name"
"38","warning_count"
"37","pnl_output_contract"
"35","is_product_based"
"35","business_summary_output_contract"
"29","model_readiness_status"
"28","format_number"
"26","model_ready"
"25","severity"
"24","labour_output_contract"
"24","business_summary"
"23","cost_stream"
"23","maximumFractionDigits"
"22","allocation_status"
"21","is_labour_based"
"21","review_required"
"20","make_warning"
"19","total_asset_cost_annual"
"19","label"
"19","recovery_summary"
"19","href"
"19","value"
"19","component_required_recovery"
"19","revenue_cogs_output_contract"
"18","business_type"
"18","cost_allocation"
"18","warning_key"
"17","Ready"
"17","review_subcategory"
"16","total_revenue"
"16","quote_result_status"
"16","business_summary_warnings"
"15","business_summary_status"
"15","warning_checks"
"15","system_allocation_overrides"
"15","review_action"
"15","effective_from"
"15","macro_required_operating_hour_rate"
"15","assets_ready"
"14","model_readiness"
"14","general_overheads_output_contract"
"14","minimumFractionDigits"
"14","warning_modules"
"14","recovery_share_total_percent"
"14","outcome_status"
"13","direct_cost_category_id"
"13","total_labour_cost_annual"
"13","total_productive_output"
"13","system_allocation_amount_overrides"
"13","plain_english"
"13","is_default"
"12","audit_location"
"12","recovery_warning_system"
"12","overhead_category_overrides"
"12","total_people_cost_annual"
"12","headline"
"12","profile_version"
"12","priority"
"12","total_cost_burden"
"12","build_recovery_warning"
"12","required_recovery_rate"
"12","default"
"11","not_reviewed"
"11","margin_pool"
"11","blocked"
"11","total_direct_costs"
"11","revenue_reality_warnings"
"11","division_id"
"11","weighted_productivity_percent"
"11","product_recovery_status"
"11","scenario_required_recovery_rate"
"11","to_number"
"11","category_name"
"11","business_recovery_required_total"
"11","general_overheads_ready"
"11","id"
"10","DRIVER"
"10","commercial_driver_mode"
"10","category_id"
"10","cause"
"10","effect"
"10","quote_warnings"
"10","reconciliation_status"
"10","module"
"10","external_delivery_required"
"10","pnl_ready"
"10","productive_asset_cost"
"10","unit_driver_rows"
"10","recovery_summary_ready"
"10","operational_groups"
"10","has_blocking_warning"
"10","as_array"
"9","active_scenario"
"9","is_winning_quote"
"9","overhead_absorption_review"
"9","is_ready"
"9","carry_forward_message"
"9","unit_recovery_warnings"
"9","is_live_job"
"9","is_blocking"
"9","labour_ready"
"9","quote_status"
"9","divisions"
"9","currency"
"9","context"
"9","revenue_cogs_ready"
"9","format_rate"
"8","build_warning"
"8","open_time"
"8","opening_hours"
"8","direct_cost_category_totals"
"8","baseline_snapshot"
"8","decision_warnings"
"8","share_percent"
"8","is_numeric_input"
"8","break_minutes"
"8","business_setup_output_contract"
"8","format_currency"
"8","cascade_effect"
"8","good"
"8","gross_margin_percent"
"8","close_time"
"8","opening_hours_warnings"
"8","current_quote_state"
"8","md"
"8","scenario_type"
"8","over_allocated_share_percent"
"8","support_asset_cost"
"8","total_business_overheads"
"8","total_available_hours_before_productivity"
"7","has_productive_asset_recovery_base"
"7","unallocated_share_percent"
"7","warning_items"
"7","duplicate_link_warnings"
"7","asset_status"
"7","is_warning"
