file_path,file_name,source_area,line_number,variable_name,variable_style,extraction_type,likely_role,module_hint,context
app\api\acc\search\route.js,route.js,app,1,path,plain,import,imported_dependency,,"import path from ""path""; import Database from ""better-sqlite3"";"
app\api\acc\search\route.js,route.js,app,2,Database,PascalCase,import,imported_dependency,,"import path from ""path""; import Database from ""better-sqlite3"";"
app\api\acc\search\route.js,route.js,app,4,dynamic,plain,declaration,local_variable,,"export const dynamic = ""force-dynamic"";"
app\api\acc\search\route.js,route.js,app,6,DB_PATH,constant,declaration,local_variable,,"const DB_PATH = path.join(process.cwd(), ""data"", ""acc_rates.db"");"
app\api\acc\search\route.js,route.js,app,6,acc_rates,snake_case,snake_case_reference,mentioned,,"const DB_PATH = path.join(process.cwd(), ""data"", ""acc_rates.db"");"
app\api\acc\search\route.js,route.js,app,8,clean_query,snake_case,function,mentioned,,"function clean_query(value) { return String(value || """").trim();"
app\api\acc\search\route.js,route.js,app,8,clean_query,snake_case,snake_case_reference,mentioned,,"function clean_query(value) { return String(value || """").trim();"
app\api\acc\search\route.js,route.js,app,12,get_database,snake_case,function,mentioned,,"function get_database() { return new Database(DB_PATH, { readonly: true });"
app\api\acc\search\route.js,route.js,app,12,get_database,snake_case,snake_case_reference,mentioned,,"function get_database() { return new Database(DB_PATH, { readonly: true });"
app\api\acc\search\route.js,route.js,app,13,readonly,plain,object_key,object_field,,"function get_database() { return new Database(DB_PATH, { readonly: true }); }"
app\api\acc\search\route.js,route.js,app,16,GET,PascalCase,function,mentioned,,export async function GET(request) { const { searchParams } = new URL(request.url);
app\api\acc\search\route.js,route.js,app,17,searchParams,camelCase,destructured_name,consumed_field,,"export async function GET(request) { const { searchParams } = new URL(request.url); const query = clean_query(searchParams.get(""q""));"
app\api\acc\search\route.js,route.js,app,18,clean_query,snake_case,snake_case_reference,mentioned,,"const { searchParams } = new URL(request.url); const query = clean_query(searchParams.get(""q""));"
app\api\acc\search\route.js,route.js,app,18,query,plain,declaration,local_variable,,"const { searchParams } = new URL(request.url); const query = clean_query(searchParams.get(""q""));"
app\api\acc\search\route.js,route.js,app,21,results,plain,object_key,object_field,,if (query.length < 2) { return Response.json({ results: [] }); }
app\api\acc\search\route.js,route.js,app,24,db,plain,declaration,local_variable,,const db = get_database();
app\api\acc\search\route.js,route.js,app,24,get_database,snake_case,snake_case_reference,mentioned,,const db = get_database();
app\api\acc\search\route.js,route.js,app,27,search_value,snake_case,declaration,local_variable,,try { const search_value = `%${query}%`;
app\api\acc\search\route.js,route.js,app,27,search_value,snake_case,snake_case_reference,mentioned,,try { const search_value = `%${query}%`;
app\api\acc\search\route.js,route.js,app,29,rows,plain,declaration,local_variable,,const rows = db .prepare(
app\api\acc\search\route.js,route.js,app,33,bic_code,snake_case,snake_case_reference,mentioned,,"SELECT b.bic_code, b.bic_description,"
app\api\acc\search\route.js,route.js,app,34,bic_description,snake_case,snake_case_reference,mentioned,,"b.bic_code, b.bic_description, b.acc_cu_code,"
app\api\acc\search\route.js,route.js,app,35,acc_cu_code,snake_case,snake_case_reference,mentioned,,"b.bic_description, b.acc_cu_code, c.acc_cu_description,"
app\api\acc\search\route.js,route.js,app,36,acc_cu_description,snake_case,snake_case_reference,mentioned,,"b.acc_cu_code, c.acc_cu_description, c.levy_risk_group,"
app\api\acc\search\route.js,route.js,app,37,levy_risk_group,snake_case,snake_case_reference,mentioned,,"c.acc_cu_description, c.levy_risk_group, c.employer_work_levy_rate,"
app\api\acc\search\route.js,route.js,app,38,employer_work_levy_rate,snake_case,snake_case_reference,mentioned,,"c.levy_risk_group, c.employer_work_levy_rate, c.working_safer_levy_rate,"
app\api\acc\search\route.js,route.js,app,39,working_safer_levy_rate,snake_case,snake_case_reference,mentioned,,"c.employer_work_levy_rate, c.working_safer_levy_rate, c.total_acc_rate"
app\api\acc\search\route.js,route.js,app,40,total_acc_rate,snake_case,snake_case_reference,mentioned,,"c.working_safer_levy_rate, c.total_acc_rate FROM acc_bic_lookup b"
app\api\acc\search\route.js,route.js,app,41,acc_bic_lookup,snake_case,snake_case_reference,mentioned,,c.total_acc_rate FROM acc_bic_lookup b INNER JOIN acc_cu_rates c
app\api\acc\search\route.js,route.js,app,42,acc_cu_rates,snake_case,snake_case_reference,mentioned,,FROM acc_bic_lookup b INNER JOIN acc_cu_rates c ON c.acc_cu_code = b.acc_cu_code
app\api\acc\search\route.js,route.js,app,43,acc_cu_code,snake_case,snake_case_reference,mentioned,,INNER JOIN acc_cu_rates c ON c.acc_cu_code = b.acc_cu_code WHERE
app\api\acc\search\route.js,route.js,app,45,bic_description,snake_case,snake_case_reference,mentioned,,WHERE b.bic_description LIKE ? OR b.bic_code LIKE ?
app\api\acc\search\route.js,route.js,app,46,bic_code,snake_case,snake_case_reference,mentioned,,b.bic_description LIKE ? OR b.bic_code LIKE ? OR c.acc_cu_description LIKE ?
app\api\acc\search\route.js,route.js,app,47,acc_cu_description,snake_case,snake_case_reference,mentioned,,OR b.bic_code LIKE ? OR c.acc_cu_description LIKE ? OR c.acc_cu_code LIKE ?
app\api\acc\search\route.js,route.js,app,48,acc_cu_code,snake_case,snake_case_reference,mentioned,,OR c.acc_cu_description LIKE ? OR c.acc_cu_code LIKE ? ORDER BY
app\api\acc\search\route.js,route.js,app,51,bic_description,snake_case,snake_case_reference,mentioned,,CASE WHEN b.bic_description LIKE ? THEN 0 WHEN c.acc_cu_description LIKE ? THEN 1
app\api\acc\search\route.js,route.js,app,52,acc_cu_description,snake_case,snake_case_reference,mentioned,,WHEN b.bic_description LIKE ? THEN 0 WHEN c.acc_cu_description LIKE ? THEN 1 ELSE 2
app\api\acc\search\route.js,route.js,app,55,bic_description,snake_case,snake_case_reference,mentioned,,"END, b.bic_description ASC LIMIT 30"
app\api\acc\search\route.js,route.js,app,60,search_value,snake_case,snake_case_reference,mentioned,,".all( search_value, search_value,"
app\api\acc\search\route.js,route.js,app,61,search_value,snake_case,snake_case_reference,mentioned,,"search_value, search_value, search_value,"
app\api\acc\search\route.js,route.js,app,62,search_value,snake_case,snake_case_reference,mentioned,,"search_value, search_value, search_value,"
app\api\acc\search\route.js,route.js,app,63,search_value,snake_case,snake_case_reference,mentioned,,"search_value, search_value, `${query}%`,"
app\api\acc\search\route.js,route.js,app,68,results,plain,object_key,object_field,,return Response.json({ results: rows }); } catch (error) {
app\api\acc\search\route.js,route.js,app,72,results,plain,object_key,object_field,,"{ results: [], error: ""ACC search failed"","
app\api\acc\search\route.js,route.js,app,73,error,plain,object_key,object_field,,"results: [], error: ""ACC search failed"", },"
app\api\acc\search\route.js,route.js,app,75,status,plain,object_key,status_field,,"}, { status: 500 } );"
app\api\demo-login\route.js,route.js,app,1,NextResponse,PascalCase,import,imported_dependency,,"import { NextResponse } from ""next/server"";"
app\api\demo-login\route.js,route.js,app,3,POST,PascalCase,function,mentioned,,export async function POST(request) { const demo_password = process.env.DEMO_PASSWORD;
app\api\demo-login\route.js,route.js,app,4,demo_password,snake_case,declaration,local_variable,,export async function POST(request) { const demo_password = process.env.DEMO_PASSWORD;
app\api\demo-login\route.js,route.js,app,4,demo_password,snake_case,snake_case_reference,mentioned,,export async function POST(request) { const demo_password = process.env.DEMO_PASSWORD;
app\api\demo-login\route.js,route.js,app,6,demo_password,snake_case,snake_case_reference,mentioned,,if (!demo_password) { return NextResponse.json(
app\api\demo-login\route.js,route.js,app,8,error,plain,object_key,object_field,,"return NextResponse.json( { error: ""Demo password is not configured."" }, { status: 500 }"
app\api\demo-login\route.js,route.js,app,9,status,plain,object_key,status_field,,"{ error: ""Demo password is not configured."" }, { status: 500 } );"
app\api\demo-login\route.js,route.js,app,13,body,plain,declaration,local_variable,,const body = await request.json(); const submitted_password = body?.password;
app\api\demo-login\route.js,route.js,app,14,submitted_password,snake_case,declaration,local_variable,,const body = await request.json(); const submitted_password = body?.password;
app\api\demo-login\route.js,route.js,app,14,submitted_password,snake_case,snake_case_reference,mentioned,,const body = await request.json(); const submitted_password = body?.password;
app\api\demo-login\route.js,route.js,app,16,demo_password,snake_case,snake_case_reference,mentioned,,if (submitted_password !== demo_password) { return NextResponse.json(
app\api\demo-login\route.js,route.js,app,16,submitted_password,snake_case,snake_case_reference,mentioned,,if (submitted_password !== demo_password) { return NextResponse.json(
app\api\demo-login\route.js,route.js,app,18,error,plain,object_key,object_field,,"return NextResponse.json( { error: ""Incorrect password."" }, { status: 401 }"
app\api\demo-login\route.js,route.js,app,19,status,plain,object_key,status_field,,"{ error: ""Incorrect password."" }, { status: 401 } );"
app\api\demo-login\route.js,route.js,app,23,response,plain,declaration,local_variable,,const response = NextResponse.json({ success: true });
app\api\demo-login\route.js,route.js,app,23,success,plain,object_key,object_field,,const response = NextResponse.json({ success: true });
app\api\demo-login\route.js,route.js,app,25,demo_password,snake_case,snake_case_reference,mentioned,,"response.cookies.set(""qs_tools_demo_access"", demo_password, { httpOnly: true,"
app\api\demo-login\route.js,route.js,app,25,qs_tools_demo_access,snake_case,snake_case_reference,mentioned,,"response.cookies.set(""qs_tools_demo_access"", demo_password, { httpOnly: true,"
app\api\demo-login\route.js,route.js,app,26,httpOnly,camelCase,object_key,object_field,,"response.cookies.set(""qs_tools_demo_access"", demo_password, { httpOnly: true, secure: true,"
app\api\demo-login\route.js,route.js,app,27,secure,plain,object_key,object_field,,"httpOnly: true, secure: true, sameSite: ""lax"","
app\api\demo-login\route.js,route.js,app,28,sameSite,camelCase,object_key,object_field,,"secure: true, sameSite: ""lax"", path: ""/"","
app\api\demo-login\route.js,route.js,app,29,path,plain,object_key,object_field,,"sameSite: ""lax"", path: ""/"", maxAge: 60 * 60 * 12,"
app\api\demo-login\route.js,route.js,app,30,maxAge,camelCase,object_key,object_field,,"path: ""/"", maxAge: 60 * 60 * 12, });"
app\demo-login\page.jsx,page.jsx,app,3,Suspense,PascalCase,import,imported_dependency,,"import { Suspense, useState } from ""react""; import { useSearchParams } from ""next/navigation"";"
app\demo-login\page.jsx,page.jsx,app,3,useState,camelCase,import,imported_dependency,,"import { Suspense, useState } from ""react""; import { useSearchParams } from ""next/navigation"";"
app\demo-login\page.jsx,page.jsx,app,4,useSearchParams,camelCase,import,imported_dependency,,"import { Suspense, useState } from ""react""; import { useSearchParams } from ""next/navigation"";"
app\demo-login\page.jsx,page.jsx,app,6,DemoLoginForm,PascalCase,function,mentioned,,function DemoLoginForm() { const searchParams = useSearchParams();
app\demo-login\page.jsx,page.jsx,app,7,searchParams,camelCase,declaration,local_variable,,"function DemoLoginForm() { const searchParams = useSearchParams(); const next_path = searchParams.get(""next"") || ""/"";"
app\demo-login\page.jsx,page.jsx,app,8,next_path,snake_case,declaration,local_variable,,"const searchParams = useSearchParams(); const next_path = searchParams.get(""next"") || ""/"";"
app\demo-login\page.jsx,page.jsx,app,8,next_path,snake_case,snake_case_reference,mentioned,,"const searchParams = useSearchParams(); const next_path = searchParams.get(""next"") || ""/"";"
app\demo-login\page.jsx,page.jsx,app,10,password,plain,array_destructured_name,mentioned,,"const [password, setPassword] = useState(""""); const [error, setError] = useState("""");"
app\demo-login\page.jsx,page.jsx,app,10,setPassword,camelCase,array_destructured_name,mentioned,,"const [password, setPassword] = useState(""""); const [error, setError] = useState("""");"
app\demo-login\page.jsx,page.jsx,app,11,error,plain,array_destructured_name,mentioned,,"const [password, setPassword] = useState(""""); const [error, setError] = useState(""""); const [is_submitting, set_is_submitting] = useState(false);"
app\demo-login\page.jsx,page.jsx,app,11,setError,camelCase,array_destructured_name,mentioned,,"const [password, setPassword] = useState(""""); const [error, setError] = useState(""""); const [is_submitting, set_is_submitting] = useState(false);"
app\demo-login\page.jsx,page.jsx,app,12,is_submitting,snake_case,array_destructured_name,readiness_field,,"const [error, setError] = useState(""""); const [is_submitting, set_is_submitting] = useState(false);"
app\demo-login\page.jsx,page.jsx,app,12,is_submitting,snake_case,snake_case_reference,readiness_field,,"const [error, setError] = useState(""""); const [is_submitting, set_is_submitting] = useState(false);"
app\demo-login\page.jsx,page.jsx,app,12,set_is_submitting,snake_case,array_destructured_name,mentioned,,"const [error, setError] = useState(""""); const [is_submitting, set_is_submitting] = useState(false);"
app\demo-login\page.jsx,page.jsx,app,12,set_is_submitting,snake_case,snake_case_reference,mentioned,,"const [error, setError] = useState(""""); const [is_submitting, set_is_submitting] = useState(false);"
app\demo-login\page.jsx,page.jsx,app,14,handle_submit,snake_case,function,mentioned,,async function handle_submit(event) { event.preventDefault();
app\demo-login\page.jsx,page.jsx,app,14,handle_submit,snake_case,snake_case_reference,mentioned,,async function handle_submit(event) { event.preventDefault();
app\demo-login\page.jsx,page.jsx,app,18,set_is_submitting,snake_case,snake_case_reference,mentioned,,"setError(""""); set_is_submitting(true);"
app\demo-login\page.jsx,page.jsx,app,21,response,plain,declaration,local_variable,,"try { const response = await fetch(""/api/demo-login"", { method: ""POST"","
app\demo-login\page.jsx,page.jsx,app,22,method,plain,object_key,object_field,,"const response = await fetch(""/api/demo-login"", { method: ""POST"", headers: {"
app\demo-login\page.jsx,page.jsx,app,23,headers,plain,object_key,object_field,,"method: ""POST"", headers: { ""Content-Type"": ""application/json"","
app\demo-login\page.jsx,page.jsx,app,26,body,plain,object_key,object_field,,"}, body: JSON.stringify({ password,"
app\demo-login\page.jsx,page.jsx,app,33,set_is_submitting,snake_case,snake_case_reference,mentioned,,"setError(""Incorrect password.""); set_is_submitting(false); return;"
app\demo-login\page.jsx,page.jsx,app,37,next_path,snake_case,snake_case_reference,mentioned,,window.location.href = next_path; } catch {
app\demo-login\page.jsx,page.jsx,app,40,set_is_submitting,snake_case,snake_case_reference,mentioned,,"setError(""Login failed. Try again.""); set_is_submitting(false); }"
