priority,action_type,module_name,variable_name,recommended_action,reason,code_files,brief_files,notes
P1,implemented_not_briefed,assets,active_assets,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\cost-allocation\useCostAllocationAssetOverlay.js | hooks\useAssets.js | hooks\useCostAllocation.js | hooks\useCostSummary.js | lib\reconciliation\reconciliationRules.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,asset_detail,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,asset_finance_benchmark_total,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,lib\reconciliation\reconciliationRules.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,asset_interest_annual,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js | lib\reconciliation\reconciliationRules.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,asset_operator,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,lib\selectors\quickStartSelectors.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,asset_output_contract,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\cost-allocation\useCostAllocationAssetOverlay.js | hooks\useCostAllocation.js | hooks\useCostSummary.js | lib\reconciliation\moduleReconciliation.js | lib\reconciliation\reconciliationRules.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,asset_outputs,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useRecoverySummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,asset_overhead_pool_assignment_summary,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js | hooks\useCostSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,asset_overhead_pools,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,components\general-overheads\GeneralOverheadSummaryCard.jsx | hooks\useAssets.js | hooks\useGeneralOverheads.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,asset_recovery_overlay,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostAllocation.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,asset_related_unassigned_cost,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js | hooks\useCostSummary.js | hooks\useGeneralOverheads.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,asset_review_required,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js | hooks\useCostSummary.js | hooks\useGeneralOverheads.js,,implemented_contract_not_documented_in_brief
