"module_name","variable_name","current_audit_status","classification","recommended_action","classification_reason","code_files","notes"
"business-modelling","summaryWarnings","code_only_not_in_brief","accept_contract_field","add_to_v5_module_brief_output_contract","Field appears to carry warning state consumed by the UI or downstream modules.","hooks\useBusinessModelling.js","implemented_contract_not_documented_in_brief"
"business-setup","business_setup_output_contract","code_only_not_in_brief","accept_reference_wrapper","document_as_reference_wrapper_not_business_metric","Field appears to be a named module output contract wrapper consumed by another module.","hooks\useRevenueCogs.js | hooks\useRevenueReality.js","implemented_contract_not_documented_in_brief"
"business-summary","business_summary_warnings","code_only_not_in_brief","accept_contract_field","add_to_v5_module_brief_output_contract","Field is a named business/status/readiness/financial/hour/recovery output used by code.","app\business-summary\page.jsx | components\business-summary\BusinessSummaryStatusStrip.jsx | hooks\useBusinessModelling.js | hooks\useBusinessSummary.js | hooks\useQuoteEngine.js | lib\calculations\businessModellingCalculations.js | lib\selectors\businessSummarySelectors.js | lib\selectors\quoteEngineSelectors.js","implemented_contract_not_documented_in_brief | warnings_field"
"business-summary","business_type","code_only_not_in_brief","accept_contract_field","add_to_v5_module_brief_output_contract","Field is a named business/status/readiness/financial/hour/recovery output used by code.","hooks\useBusinessSummary.js","implemented_contract_not_documented_in_brief"
"business-summary","cost_burden_breakdown","code_only_not_in_brief","accept_contract_field","add_to_v5_module_brief_output_contract","Field is a named business/status/readiness/financial/hour/recovery output used by code.","hooks\useBusinessSummary.js","implemented_contract_not_documented_in_brief"
"business-summary","is_product_based","code_only_not_in_brief","accept_contract_field","add_to_v5_module_brief_output_contract","Field is a named business/status/readiness/financial/hour/recovery output used by code.","app\business-summary\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | hooks\useBusinessSummary.js | lib\calculations\businessSummaryCalculations.js | lib\selectors\businessSummarySelectors.js","implemented_contract_not_documented_in_brief | readiness_field"
"business-summary","ready","code_only_not_in_brief","accept_contract_field","add_to_v5_module_brief_output_contract","Field appears to carry module readiness state.","hooks\useBusinessSummary.js | lib\selectors\businessSummarySelectors.js","implemented_contract_not_documented_in_brief"
"cost-allocation","cost_allocation_contract","code_only_not_in_brief","accept_reference_wrapper","document_as_reference_wrapper_not_business_metric","Field appears to be a named module output contract wrapper consumed by another module.","app\recovery-outcome\page.jsx","implemented_contract_not_documented_in_brief"
"opening-hours","macro_required_operating_hour_rate","code_only_not_in_brief","accept_contract_field","add_to_v5_module_brief_output_contract","Field is a named business/status/readiness/financial/hour/recovery output used by code.","app\business-summary\page.jsx | app\cost-summary\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryStatusStrip.jsx | components\cost-summary\CostSummaryCard.jsx | components\cost-summary\CostSummaryStatusStrip.jsx | hooks\useBusinessSummary.js | hooks\useCostSummary.js | lib\calculations\costSummaryCalculations.js | lib\selectors\businessSummarySelectors.js | lib\selectors\costSummarySelectors.js","implemented_contract_not_documented_in_brief"
"opening-hours","net_annual_business_open_hours","code_only_not_in_brief","accept_contract_field","add_to_v5_module_brief_output_contract","Field is a named business/status/readiness/financial/hour/recovery output used by code.","components\business-summary\BusinessSummaryStatusStrip.jsx | hooks\useBusinessSummary.js | lib\selectors\openingHoursSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","total_business_costs","code_only_not_in_brief","accept_contract_field","add_to_v5_module_brief_output_contract","Field is a named business/status/readiness/financial/hour/recovery output used by code.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","total_cogs","code_only_not_in_brief","accept_contract_field","add_to_v5_module_brief_output_contract","Field is a named business/status/readiness/financial/hour/recovery output used by code.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","total_cost_of_sales","code_only_not_in_brief","accept_contract_field","add_to_v5_module_brief_output_contract","Field is a named business/status/readiness/financial/hour/recovery output used by code.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","total_direct_costs","code_only_not_in_brief","accept_contract_field","add_to_v5_module_brief_output_contract","Field is a named business/status/readiness/financial/hour/recovery output used by code.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","unassigned_balance","code_only_not_in_brief","accept_contract_field","add_to_v5_module_brief_output_contract","Field is a named business/status/readiness/financial/hour/recovery output used by code.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","unassigned_details","code_only_not_in_brief","accept_contract_field","add_to_v5_module_brief_output_contract","Field is a named business/status/readiness/financial/hour/recovery output used by code.","components\p-and-l\ProfitAndLossMainCard.jsx | lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","unreviewed_interest_count","code_only_not_in_brief","accept_contract_field","add_to_v5_module_brief_output_contract","Field is a named business/status/readiness/financial/hour/recovery output used by code.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","unreviewed_interest_total","code_only_not_in_brief","accept_contract_field","add_to_v5_module_brief_output_contract","Field is a named business/status/readiness/financial/hour/recovery output used by code.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
"p-and-l","warnings","code_only_not_in_brief","accept_contract_field","add_to_v5_module_brief_output_contract","Field appears to carry warning state consumed by the UI or downstream modules.","lib\selectors\profitAndLossSelectors.js","implemented_contract_not_documented_in_brief"
