"module_name","variable_name","recommended_action","audit_status_after_pass_2","found_under_module","found_status"
"business-modelling","summaryWarnings","add_to_v5_module_brief_output_contract","code_only_not_in_brief","business-modelling","code_only_not_in_brief"
"business-setup","business_setup_output_contract","document_as_reference_wrapper_not_business_metric","code_only_not_in_brief","business-setup","code_only_not_in_brief"
"business-summary","business_summary_warnings","add_to_v5_module_brief_output_contract","code_only_not_in_brief","business-summary","code_only_not_in_brief"
"business-summary","business_type","add_to_v5_module_brief_output_contract","code_only_not_in_brief","business-summary","code_only_not_in_brief"
"business-summary","cost_burden_breakdown","add_to_v5_module_brief_output_contract","code_only_not_in_brief","business-summary","code_only_not_in_brief"
"business-summary","is_product_based","add_to_v5_module_brief_output_contract","code_only_not_in_brief","business-summary","code_only_not_in_brief"
"business-summary","ready","add_to_v5_module_brief_output_contract","code_only_not_in_brief","business-summary","code_only_not_in_brief"
"cost-allocation","cost_allocation_contract","document_as_reference_wrapper_not_business_metric","code_only_not_in_brief","cost-allocation","code_only_not_in_brief"
"opening-hours","macro_required_operating_hour_rate","add_to_v5_module_brief_output_contract","matched","opening-hours","matched"
"opening-hours","net_annual_business_open_hours","add_to_v5_module_brief_output_contract","matched","opening-hours","matched"
"p-and-l","total_business_costs","add_to_v5_module_brief_output_contract","code_only_not_in_brief","p-and-l","code_only_not_in_brief"
"p-and-l","total_cogs","add_to_v5_module_brief_output_contract","code_only_not_in_brief","p-and-l","code_only_not_in_brief"
"p-and-l","total_cost_of_sales","add_to_v5_module_brief_output_contract","code_only_not_in_brief","p-and-l","code_only_not_in_brief"
"p-and-l","total_direct_costs","add_to_v5_module_brief_output_contract","code_only_not_in_brief","p-and-l","code_only_not_in_brief"
"p-and-l","unassigned_balance","add_to_v5_module_brief_output_contract","code_only_not_in_brief","p-and-l","code_only_not_in_brief"
"p-and-l","unassigned_details","add_to_v5_module_brief_output_contract","code_only_not_in_brief","p-and-l","code_only_not_in_brief"
"p-and-l","unreviewed_interest_count","add_to_v5_module_brief_output_contract","code_only_not_in_brief","p-and-l","code_only_not_in_brief"
"p-and-l","unreviewed_interest_total","add_to_v5_module_brief_output_contract","code_only_not_in_brief","p-and-l","code_only_not_in_brief"
"p-and-l","warnings","add_to_v5_module_brief_output_contract","code_only_not_in_brief","p-and-l","code_only_not_in_brief"
"recovery-summary","recovery_summary_contract","document_as_reference_wrapper_not_business_metric","code_only_not_in_brief","recovery-summary","code_only_not_in_brief"
"revenue-cogs","business_type","add_to_v5_module_brief_output_contract","code_only_not_in_brief","revenue-cogs","code_only_not_in_brief"
"revenue-cogs","cost_of_sales_lines","add_to_v5_module_brief_output_contract","code_only_not_in_brief","revenue-cogs","code_only_not_in_brief"
"revenue-cogs","direct_cost_categories","add_to_v5_module_brief_output_contract","code_only_not_in_brief","revenue-cogs","code_only_not_in_brief"
"revenue-reality","business_type","add_to_v5_module_brief_output_contract","code_only_not_in_brief","revenue-reality","code_only_not_in_brief"
"revenue-reality","is_product_based","add_to_v5_module_brief_output_contract","code_only_not_in_brief","revenue-reality","code_only_not_in_brief"
"revenue-reality","total_revenue","add_to_v5_module_brief_output_contract","code_only_not_in_brief","revenue-reality","code_only_not_in_brief"
