"module_name","variable_name","audit_status","code_present","brief_present","code_role","brief_role","code_files","brief_files","notes"
"assets","asset_detail","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useCostSummary.js","","implemented_contract_not_documented_in_brief"
"assets","asset_outputs","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useRecoverySummary.js","","implemented_contract_not_documented_in_brief"
"assets","asset_overhead_pools","code_only_not_in_brief","yes","no","output_contract_field","","components\general-overheads\GeneralOverheadSummaryCard.jsx | hooks\useAssets.js | hooks\useGeneralOverheads.js","","implemented_contract_not_documented_in_brief"
"assets","asset_recovery_overlay","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useCostAllocation.js","","implemented_contract_not_documented_in_brief"
"assets","assets","code_only_not_in_brief","yes","no","output_contract_field","","app\cost-summary\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\business-summary\BusinessSummaryMacroPositionCard.jsx | hooks\useAssets.js | hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js","","implemented_contract_not_documented_in_brief"
"assets","build_asset_recovery_overlay","code_only_not_in_brief","yes","no","output_contract_field","","hooks\cost-allocation\useCostAllocationAssetOverlay.js","","implemented_contract_not_documented_in_brief"
"assets","general_overheads","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useAssets.js","","implemented_contract_not_documented_in_brief"
"assets","live_assets","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useAssets.js","","implemented_contract_not_documented_in_brief"
"assets","safe_array","code_only_not_in_brief","yes","no","output_contract_field","","hooks\cost-allocation\useCostAllocationAssetOverlay.js","","implemented_contract_not_documented_in_brief"
"assets","safe_number","code_only_not_in_brief","yes","no","output_contract_field","","hooks\cost-allocation\useCostAllocationAssetOverlay.js","","implemented_contract_not_documented_in_brief"
"assets","saved_assets","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useAssets.js | lib\selectors\assetSelectors.js","","implemented_contract_not_documented_in_brief"
"business-modelling","baseline","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useBusinessModelling.js","","implemented_contract_not_documented_in_brief"
"business-modelling","blocked","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useBusinessModelling.js | lib\calculations\businessModellingCalculations.js | lib\selectors\businessModellingSelectors.js","","implemented_contract_not_documented_in_brief"
"business-modelling","business_modelling_state","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useBusinessModelling.js","","implemented_contract_not_documented_in_brief"
"business-modelling","summaryBlocked","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useBusinessModelling.js","","implemented_contract_not_documented_in_brief"
"business-modelling","summaryWarnings","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useBusinessModelling.js","","implemented_contract_not_documented_in_brief"
"business-setup","business_setup_output_contract","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useRevenueCogs.js | hooks\useRevenueReality.js","","implemented_contract_not_documented_in_brief"
"business-setup","business_setup_state","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useBusinessSetup.js","","implemented_contract_not_documented_in_brief"
"business-summary","business_summary","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useBusinessModelling.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js | hooks\useRevenueReality.js | lib\recovery\recoveryRiskWarningSystem.js","","implemented_contract_not_documented_in_brief"
"business-summary","calculations","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useBusinessSummary.js","","implemented_contract_not_documented_in_brief"
"business-summary","people","code_only_not_in_brief","yes","no","output_contract_field","","components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\business-summary\BusinessSummaryMacroPositionCard.jsx | hooks\useBusinessSummary.js","","implemented_contract_not_documented_in_brief"
"business-summary","ready","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useBusinessSummary.js | lib\selectors\businessSummarySelectors.js","","implemented_contract_not_documented_in_brief"
"cost-allocation","build_cost_allocation_output_contract","code_only_not_in_brief","yes","no","output_contract_field","","hooks\cost-allocation\useCostAllocationOutputContract.js | hooks\useCostAllocation.js","","implemented_contract_not_documented_in_brief"
"cost-allocation","cost_allocation","code_only_not_in_brief","yes","no","output_contract_field","","app\recovery-outcome\page.jsx | components\rate-builder\RateBuilderLineCalculator.jsx | hooks\useRecoveryOutcome.js | lib\calculations\recoveryOutcomeCalculations.js | lib\recovery\recoveryRiskWarningSystem.js","","implemented_contract_not_documented_in_brief"
"cost-allocation","cost_allocation_contract","code_only_not_in_brief","yes","no","output_contract_field","","app\recovery-outcome\page.jsx","","implemented_contract_not_documented_in_brief"
"cost-allocation","recovery_summary","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useCostAllocation.js | lib\calculations\cost-allocation\costAllocationInputBuilder.js","","implemented_contract_not_documented_in_brief"
"cost-summary","cost_summary","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useBusinessSummary.js | hooks\useQuoteEngine.js | hooks\useRevenueSummary.js | lib\audit\buildLiveAuditSnapshotExport.js","","implemented_contract_not_documented_in_brief"
"cost-summary","legacy_display","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useCostSummary.js","","implemented_contract_not_documented_in_brief"
"general-overheads","actions","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useGeneralOverheads.js","","implemented_contract_not_documented_in_brief"
"general-overheads","allocation_outputs","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useGeneralOverheads.js","","implemented_contract_not_documented_in_brief"
"general-overheads","build_general_overhead_allocation_outputs","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useGeneralOverheads.js","","implemented_contract_not_documented_in_brief"
"general-overheads","current_overhead_state","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useGeneralOverheads.js","","implemented_contract_not_documented_in_brief"
"general-overheads","employee_overheads_check","code_only_not_in_brief","yes","no","output_contract_field","","lib\reconciliation\reconciliationRules.js","","implemented_contract_not_documented_in_brief"
"general-overheads","general_overheads","code_only_not_in_brief","yes","no","output_contract_field","","app\cost-summary\page.jsx | components\model-readiness\ModelReadinessAuditPanel.jsx | hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js","","implemented_contract_not_documented_in_brief"
"general-overheads","overhead_state","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useGeneralOverheads.js | lib\selectors\general-overheads\generalOverheadCardSelector.js","","implemented_contract_not_documented_in_brief"
"general-overheads","pool_key","code_only_not_in_brief","yes","no","output_contract_field","","components\general-overheads\GeneralOverheadSummaryCard.jsx","","implemented_contract_not_documented_in_brief"
"labour","build_active_labour_rate_model_for_calculation","code_only_not_in_brief","yes","no","output_contract_field","","hooks\rate-builder\useRateBuilderLabourRates.js","","implemented_contract_not_documented_in_brief"
"labour","build_all_labour_type_rows","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useCostAllocation.js | lib\calculations\cost-allocation\costAllocationLabourAdapter.js","","implemented_contract_not_documented_in_brief"
"labour","build_cost_allocation_output_contract","code_only_not_in_brief","yes","no","output_contract_field","","hooks\rate-builder\useRateBuilderLabourRates.js | lib\selectors\rate-builder\rateBuilderLabourModelSelectors.js","","implemented_contract_not_documented_in_brief"
"labour","build_labour_rate_result_metrics","code_only_not_in_brief","yes","no","output_contract_field","","hooks\rate-builder\useRateBuilderLabourRates.js","","implemented_contract_not_documented_in_brief"
"labour","build_labour_type_rows_by_class","code_only_not_in_brief","yes","no","output_contract_field","","lib\calculations\cost-allocation\costAllocationLabourAdapter.js","","implemented_contract_not_documented_in_brief"
"labour","build_productive_labour_type_rows","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useCostAllocation.js | lib\calculations\cost-allocation\costAllocationLabourAdapter.js","","implemented_contract_not_documented_in_brief"
"labour","build_support_labour_type_rows","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useCostAllocation.js | lib\calculations\cost-allocation\costAllocationLabourAdapter.js","","implemented_contract_not_documented_in_brief"
"labour","cost_allocation","code_only_not_in_brief","yes","no","output_contract_field","","hooks\rate-builder\useRateBuilderLabourRates.js | lib\selectors\rate-builder\rateBuilderLabourModelSelectors.js","","implemented_contract_not_documented_in_brief"
"labour","get_nested_value","code_only_not_in_brief","yes","no","output_contract_field","","lib\selectors\rate-builder\rateBuilderLabourSourceSelectors.js","","implemented_contract_not_documented_in_brief"
"labour","labour","code_only_not_in_brief","yes","no","output_contract_field","","app\cost-summary\page.jsx | hooks\useBusinessSummary.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js","","implemented_contract_not_documented_in_brief"
"labour","labour_data","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useCostSummary.js","","implemented_contract_not_documented_in_brief"
"labour","labour_profiles","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useEmployeeOverheads.js","","implemented_contract_not_documented_in_brief"
"labour","labour_rate_reality_check","code_only_not_in_brief","yes","no","output_contract_field","","lib\selectors\quickStartSelectors.js","","implemented_contract_not_documented_in_brief"
"labour","productive_labour_types","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useCostSummary.js","","implemented_contract_not_documented_in_brief"
"labour","recovery_plan","code_only_not_in_brief","yes","no","output_contract_field","","lib\selectors\rate-builder\rateBuilderLabourModelSelectors.js | lib\selectors\rate-builder\rateBuilderLabourSourceSelectors.js","","implemented_contract_not_documented_in_brief"
"labour","safe_array","code_only_not_in_brief","yes","no","output_contract_field","","lib\calculations\cost-allocation\costAllocationLabourAdapter.js","","implemented_contract_not_documented_in_brief"
"model-readiness","model_readiness","code_only_not_in_brief","yes","no","output_contract_field","","app\cost-summary\page.jsx | hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js | lib\selectors\costSummarySelectors.js","","implemented_contract_not_documented_in_brief"
"module-reconciliation","has_legacy_running_cost","code_only_not_in_brief","yes","no","output_contract_field","","lib\reconciliation\reconciliationRules.js","","implemented_contract_not_documented_in_brief"
"module-reconciliation","legacy_running_cost_check","code_only_not_in_brief","yes","no","output_contract_field","","lib\reconciliation\reconciliationRules.js","","implemented_contract_not_documented_in_brief"
"p-and-l","build_general_overheads_from_pnl","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useGeneralOverheads.js","","implemented_contract_not_documented_in_brief"
"p-and-l","build_pnl_sync_signature","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useGeneralOverheads.js","","implemented_contract_not_documented_in_brief"
"p-and-l","build_reconciliation","code_only_not_in_brief","yes","no","output_contract_field","","lib\selectors\profitAndLossSelectors.js","","implemented_contract_not_documented_in_brief"
"p-and-l","build_unassigned_details","code_only_not_in_brief","yes","no","output_contract_field","","lib\selectors\profitAndLossSelectors.js","","implemented_contract_not_documented_in_brief"
"p-and-l","build_warnings","code_only_not_in_brief","yes","no","output_contract_field","","lib\selectors\profitAndLossSelectors.js","","implemented_contract_not_documented_in_brief | warnings_field"
"p-and-l","format_number","code_only_not_in_brief","yes","no","output_contract_field","","lib\selectors\profitAndLossSelectors.js","","implemented_contract_not_documented_in_brief"
"p-and-l","good","code_only_not_in_brief","yes","no","output_contract_field","","components\p-and-l\ProfitAndLossStatusStrip.jsx | lib\selectors\profitAndLossSelectors.js","","implemented_contract_not_documented_in_brief"
"p-and-l","label","code_only_not_in_brief","yes","no","output_contract_field","","lib\selectors\profitAndLossSelectors.js","","implemented_contract_not_documented_in_brief"
"p-and-l","pnl_sync_signature","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useGeneralOverheads.js","","implemented_contract_not_documented_in_brief"
"p-and-l","profit_and_loss","code_only_not_in_brief","yes","no","output_contract_field","","components\model-readiness\ModelReadinessAuditPanel.jsx | hooks\useRevenueCogs.js","","implemented_contract_not_documented_in_brief"
"p-and-l","profit_and_loss_state","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useGeneralOverheads.js | hooks\useProfitAndLoss.js","","implemented_contract_not_documented_in_brief"
"p-and-l","Ready","code_only_not_in_brief","yes","no","output_contract_field","","lib\selectors\profitAndLossSelectors.js","","implemented_contract_not_documented_in_brief"
"p-and-l","reconciliation","code_only_not_in_brief","yes","no","output_contract_field","","lib\selectors\profitAndLossSelectors.js","","implemented_contract_not_documented_in_brief"
"p-and-l","state","code_only_not_in_brief","yes","no","output_contract_field","","hooks\useProfitAndLoss.js | lib\storage\profitAndLossProfileStorage.js","","implemented_contract_not_documented_in_brief"
"p-and-l","summary","code_only_not_in_brief","yes","no","output_contract_field","","lib\selectors\profitAndLossSelectors.js","","implemented_contract_not_documented_in_brief"
"p-and-l","tone","code_only_not_in_brief","yes","no","output_contract_field","","components\p-and-l\ProfitAndLossProgressPanel.jsx | lib\selectors\profitAndLossSelectors.js","","implemented_contract_not_documented_in_brief"
"p-and-l","value","code_only_not_in_brief","yes","no","output_contract_field","","lib\selectors\profitAndLossSelectors.js","","implemented_contract_not_documented_in_brief"
