type,file,class,count
hardcoded_tailwind,D:\QSTools\qstools-web\app\employee-overheads\page.jsx,border-neutral-700,1
hardcoded_tailwind,D:\QSTools\qstools-web\app\employee-overheads\page.jsx,bg-neutral-900,1
hardcoded_tailwind,D:\QSTools\qstools-web\app\labour\page.jsx,border-neutral-800,3
hardcoded_tailwind,D:\QSTools\qstools-web\app\labour\page.jsx,bg-neutral-950,1
hardcoded_tailwind,D:\QSTools\qstools-web\app\labour\page.jsx,text-neutral-400,1
hardcoded_tailwind,D:\QSTools\qstools-web\app\labour\page.jsx,bg-neutral-900,1
hardcoded_tailwind,D:\QSTools\qstools-web\app\labour\page.jsx,text-neutral-300,1
hardcoded_tailwind,D:\QSTools\qstools-web\app\page.js,border-neutral-800,2
hardcoded_tailwind,D:\QSTools\qstools-web\app\page.js,bg-neutral-950,1
hardcoded_tailwind,D:\QSTools\qstools-web\app\page.js,text-neutral-400,1
hardcoded_tailwind,D:\QSTools\qstools-web\app\page.js,bg-neutral-900,1
hardcoded_tailwind,D:\QSTools\qstools-web\app\page.js,text-neutral-300,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\common\CollapsibleSection.jsx,text-neutral-400,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\common\CollapsibleSection.jsx,border-neutral-800,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\common\CollapsibleSection.jsx,bg-neutral-900,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\cost-summary\CostSummaryCard.jsx,border-neutral-800,25
hardcoded_tailwind,D:\QSTools\qstools-web\components\cost-summary\CostSummaryCard.jsx,text-neutral-500,14
hardcoded_tailwind,D:\QSTools\qstools-web\components\cost-summary\CostSummaryCard.jsx,bg-neutral-950,11
hardcoded_tailwind,D:\QSTools\qstools-web\components\cost-summary\CostSummaryCard.jsx,text-neutral-400,8
hardcoded_tailwind,D:\QSTools\qstools-web\components\cost-summary\CostSummaryCard.jsx,text-emerald-400,3
hardcoded_tailwind,D:\QSTools\qstools-web\components\cost-summary\CostSummaryCard.jsx,text-amber-400,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\cost-summary\CostSummaryCard.jsx,text-neutral-300,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\cost-summary\CostSummaryHelpPanel.jsx,border-neutral-800,2
