type,file,class,count
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\CommercialCard.jsx,border-neutral-700,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\CommercialCard.jsx,bg-neutral-950,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\CommercialCard.jsx,border-neutral-800,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\CommercialCard.jsx,bg-neutral-900,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\CommercialCard.jsx,text-neutral-400,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\CommercialCard.jsx,text-neutral-300,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\EmployerContributionsCard.jsx,border-neutral-800,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\EmployerContributionsCard.jsx,text-neutral-400,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\EmployerContributionsCard.jsx,bg-neutral-950,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\EmployerContributionsCard.jsx,text-neutral-300,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\EmployerContributionsCard.jsx,bg-neutral-900,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\EmployerContributionsCard.jsx,border-neutral-700,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\EmployerContributionsCard.jsx,text-neutral-200,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\EntitlementsCard.jsx,bg-neutral-950,6
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\EntitlementsCard.jsx,border-neutral-700,5
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\EntitlementsCard.jsx,border-neutral-800,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\EntitlementsCard.jsx,text-neutral-400,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\EntitlementsCard.jsx,text-neutral-300,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\EntitlementsCard.jsx,bg-neutral-900,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\EntitlementsCard.jsx,text-neutral-200,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourFlowCard.jsx,border-neutral-800,4
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourFlowCard.jsx,text-neutral-400,4
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourFlowCard.jsx,bg-neutral-950,4
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourFlowCard.jsx,border-neutral-700,3
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourFlowCard.jsx,bg-neutral-900,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourFlowCard.jsx,text-neutral-200,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourFlowCard.jsx,hover:bg-neutral-800,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourFlowCard.jsx,border-emerald-700,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourFlowCard.jsx,bg-emerald-950,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourFlowCard.jsx,text-emerald-300,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourFlowCard.jsx,border-amber-700,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourFlowCard.jsx,bg-amber-950,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourFlowCard.jsx,text-amber-300,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourFlowCard.jsx,border-rose-700,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourFlowCard.jsx,bg-rose-950,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourFlowCard.jsx,text-rose-300,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourFlowCard.jsx,text-neutral-300,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourHelpPanel.jsx,border-neutral-800,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourHelpPanel.jsx,bg-neutral-900,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourHelpPanel.jsx,text-neutral-300,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourInsightsRow.jsx,border-neutral-800,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourInsightsRow.jsx,text-neutral-300,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourInsightsRow.jsx,bg-neutral-900,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourInsightsRow.jsx,text-neutral-400,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourInsightsRow.jsx,text-emerald-400,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourInsightsRow.jsx,text-amber-400,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourInsightsRow.jsx,text-rose-400,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourInsightsRow.jsx,border-emerald-700,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourInsightsRow.jsx,bg-emerald-950,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourInsightsRow.jsx,text-emerald-300,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourInsightsRow.jsx,border-amber-700,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourInsightsRow.jsx,bg-amber-950,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourInsightsRow.jsx,text-amber-300,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourInsightsRow.jsx,border-rose-700,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourInsightsRow.jsx,bg-rose-950,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourInsightsRow.jsx,text-rose-300,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourProfileCard.jsx,border-neutral-700,10
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourProfileCard.jsx,text-neutral-300,9
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourProfileCard.jsx,focus:border-neutral-500,7
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourProfileCard.jsx,bg-neutral-950,6
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourProfileCard.jsx,bg-neutral-900,4
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourProfileCard.jsx,text-neutral-400,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourProfileCard.jsx,text-neutral-500,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourProfileCard.jsx,hover:bg-neutral-800,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourProfileCard.jsx,border-neutral-800,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourStatusStrip.jsx,border-neutral-800,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourStatusStrip.jsx,bg-neutral-900,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourStatusStrip.jsx,border-emerald-700,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourStatusStrip.jsx,bg-emerald-950,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourStatusStrip.jsx,text-emerald-300,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourStatusStrip.jsx,border-amber-700,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourStatusStrip.jsx,bg-amber-950,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourStatusStrip.jsx,text-amber-300,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourStatusStrip.jsx,border-rose-700,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourStatusStrip.jsx,bg-rose-950,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourStatusStrip.jsx,text-rose-300,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourStatusStrip.jsx,border-neutral-700,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourStatusStrip.jsx,bg-neutral-950,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourStatusStrip.jsx,text-neutral-300,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourSummaryCard.jsx,border-neutral-800,3
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourSummaryCard.jsx,bg-neutral-950,3
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourSummaryCard.jsx,text-neutral-400,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourSummaryCard.jsx,bg-neutral-900,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourSummaryCard.jsx,border-neutral-700,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourSummaryCard.jsx,text-neutral-500,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourSummaryCard.jsx,text-neutral-200,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\LabourSummaryCard.jsx,text-neutral-300,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\PayCard.jsx,border-neutral-700,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\PayCard.jsx,bg-neutral-950,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\PayCard.jsx,border-neutral-800,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\PayCard.jsx,bg-neutral-900,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\PayCard.jsx,text-neutral-400,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\PayCard.jsx,text-neutral-300,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\ProfileLockNotice.jsx,border-amber-700,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\ProfileLockNotice.jsx,bg-amber-950,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\ProfileLockNotice.jsx,text-amber-200,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\SavedProfilesCard.jsx,text-neutral-400,4
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\SavedProfilesCard.jsx,border-neutral-700,4
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\SavedProfilesCard.jsx,bg-neutral-950,4
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\SavedProfilesCard.jsx,text-neutral-200,3
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\SavedProfilesCard.jsx,border-neutral-800,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\SavedProfilesCard.jsx,bg-neutral-900,2
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\SavedProfilesCard.jsx,text-neutral-500,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\SavedProfilesCard.jsx,border-emerald-700,1
hardcoded_tailwind,D:\QSTools\qstools-web\components\labour\SavedProfilesCard.jsx,bg-emerald-950,1
